combination,nl_synergy,combination_index,nl_synergy_pvalue,cbca_improvement,same_family,dual_positive,selected_for_dose_response
hsa-miR-106b-5p + hsa-miR-2110,0.472,0.216,0.031,0.064,FALSE,TRUE,FALSE
hsa-miR-19a-3p + hsa-miR-2110,0.401,0.245,0.023,0.069,FALSE,TRUE,FALSE
hsa-miR-19b-3p + hsa-miR-449b-5p,0.307,0.254,0.008,0.109,FALSE,TRUE,FALSE
hsa-miR-20a-5p + hsa-miR-2110,0.352,0.270,0.010,0.107,FALSE,TRUE,FALSE
hsa-miR-19b-3p + hsa-miR-2110,0.343,0.275,0.000,0.077,FALSE,TRUE,TRUE
hsa-miR-137 + hsa-miR-449b-5p,0.642,0.283,0.034,0.154,FALSE,TRUE,TRUE
hsa-miR-128-3p + hsa-miR-449b-5p,0.302,0.291,0.011,0.153,FALSE,TRUE,FALSE
hsa-miR-211-5p + hsa-miR-2110,0.257,0.336,0.041,0.115,FALSE,TRUE,FALSE
hsa-miR-27a-3p + hsa-miR-449b-5p,0.183,0.366,0.008,0.190,FALSE,TRUE,FALSE
hsa-miR-17-5p + hsa-miR-449b-5p,0.172,0.377,0.027,0.172,FALSE,TRUE,FALSE
hsa-miR-211-5p + hsa-miR-449b-5p,0.169,0.381,0.003,0.134,FALSE,TRUE,FALSE
hsa-miR-128-3p + hsa-miR-137,0.409,0.383,0.013,0.128,FALSE,TRUE,FALSE
hsa-miR-20a-5p + hsa-miR-449b-5p,0.166,0.386,0.002,0.091,FALSE,TRUE,FALSE
hsa-miR-17-5p + hsa-miR-2110,0.203,0.391,0.019,0.176,FALSE,TRUE,FALSE
hsa-miR-2110 + hsa-miR-449b-5p,0.193,0.403,0.047,0.188,FALSE,TRUE,FALSE
hsa-miR-137 + hsa-miR-27b-3p,0.351,0.420,0.019,0.098,FALSE,TRUE,FALSE
hsa-miR-20b-5p + hsa-miR-2110,0.264,0.426,0.016,0.157,FALSE,TRUE,FALSE
hsa-miR-2110 + hsa-miR-429,0.290,0.432,0.009,0.154,FALSE,TRUE,FALSE
hsa-miR-204-5p + hsa-miR-2110,0.159,0.451,0.037,0.185,FALSE,TRUE,FALSE
