,hsa-miR-340-5p,hsa-miR-124-3p,hsa-miR-506-3p,hsa-miR-19a-3p,hsa-miR-19b-3p,hsa-miR-106b-5p,hsa-miR-20a-5p,hsa-miR-106a-5p,hsa-miR-17-5p,hsa-miR-20b-5p,hsa-miR-93-5p,hsa-miR-27a-3p,hsa-miR-27b-3p,hsa-miR-137,hsa-miR-429,hsa-miR-200b-3p,hsa-miR-200c-3p,hsa-miR-92a-3p,hsa-miR-25-3p,hsa-miR-363-3p,hsa-miR-128-3p,hsa-miR-3714,hsa-miR-204-5p,hsa-miR-211-5p,hsa-miR-200a-3p,hsa-miR-135b-5p,hsa-miR-449b-5p,hsa-miR-34a-5p,hsa-miR-449a,hsa-miR-103a-3p,hsa-miR-107,hsa-miR-452-5p,hsa-miR-2110,hsa-miR-34b-5p,hsa-miR-143-5p,hsa-miR-18a-5p,hsa-miR-18b-5p,hsa-miR-873-5p,hsa-miR-10a-5p,hsa-miR-10b-5p,hsa-miR-196a-5p,hsa-miR-193b-3p,hsa-miR-3937,hsa-miR-450b-3p
hsa-miR-340-5p,0.07383587,0.018005315,0.01155237,0.5565149,0.54261255,0.6116511,0.60820115,0.7562837,0.15738648,0.31535578,0.33480743,0.117605835,0.13395396,0.043202873,0.1449178,0.0800569,0.17029268,0.5195222,0.163486,0.14346057,0.31789777,0.007345573,0.18491109,0.3288825,0.30224976,0.118662395,0.022691604,0.09008294,0.11670156,0.097749084,0.092952035,0.4503234,0.020676881,0.035132516,0.05900928,0.15070616,0.17867717,0.06612582,0.05150181,0.035347447,0.111995,0.03410282,0.120549425,0.08495117
hsa-miR-124-3p,0.018005315,0.007191742,0.0024350102,0.5334821,0.6300702,0.61259645,0.5813009,0.47073078,0.10809692,0.24898404,0.16144022,0.04130078,0.038605604,0.05582096,0.10197606,0.15904976,0.16608292,0.534521,0.26917288,0.089211345,0.072292976,0.015558505,0.14368032,0.35960767,0.26889956,0.022764329,0.004298038,0.019579412,0.016401589,0.02486293,0.021774922,0.6229144,0.03403369,0.02194826,0.06322778,0.13815714,0.13404374,0.010559538,0.014937141,0.03387839,0.019090224,0.008300838,-0.0036058752,0.13629755
hsa-miR-506-3p,0.01155237,0.0024350102,0.012846713,0.34219822,0.2527001,0.21840084,0.13183789,0.4374613,0.1287034,0.15532054,0.05319676,0.047350712,0.019823415,0.03789654,0.077640235,0.020682354,0.022435257,0.3771893,0.13385099,0.075219765,0.018819202,0.019228805,0.027327236,0.042115416,0.071430996,0.006829309,0.017538272,0.022339141,0.026271833,0.020432638,0.0031436223,0.5785176,0.0074493405,0.011683701,0.032440048,0.099673584,0.04380985,0.017759275,0.020329561,0.009408396,0.016929753,0.008998778,0.0043224064,0.101817854
hsa-miR-19a-3p,0.5565149,0.5334821,0.34219822,0.8942532,0.9194778,0.9609854,0.78281355,0.8966032,0.91615665,0.85095686,0.77383375,0.7084913,0.6376332,0.10929326,0.45259953,0.24676819,0.2947825,0.71329147,0.7848553,0.85645705,0.83363575,0.18040602,0.9258114,0.5722525,0.6845367,0.52507675,0.10938535,0.52184385,0.19790705,0.7752322,0.4362694,0.7081812,0.1512808,0.10214591,0.81484765,0.48735765,0.7150186,0.73998517,0.9021935,0.8336341,0.94200826,0.331301,0.8192984,0.27199602
hsa-miR-19b-3p,0.54261255,0.6300702,0.2527001,0.9194778,0.7467266,0.8292159,0.7308968,0.8790313,0.80564505,0.77585745,0.88866204,0.7525452,0.8005212,0.13397416,0.4102232,0.2937885,0.25985646,0.7280182,0.75411433,0.9067847,0.9507493,0.16890867,0.88586,0.8388974,0.6418598,0.4699805,0.10249219,0.48575372,0.25342715,0.7010642,0.58528364,0.32438245,0.14895594,0.095143706,0.73505014,0.5584502,0.7399794,0.8782433,0.7761192,0.7419926,0.8472307,0.35325903,0.7628503,0.30979845
hsa-miR-106b-5p,0.6116511,0.61259645,0.21840084,0.9609854,0.8292159,0.83334285,0.5829278,0.7648891,0.8238746,0.6886919,0.7733567,0.7686582,0.75434214,0.1618119,0.7381183,0.5484652,0.5116412,0.63863146,0.40002432,0.66972375,0.6882049,0.20639376,0.8750057,0.7033082,0.6076752,0.40103793,0.16067684,0.66636604,0.45738497,0.9095829,0.5387875,0.5594961,0.16470209,0.055115003,0.8138922,0.5343278,0.6422374,0.6568435,0.7933837,0.87111926,0.8363159,0.37275863,0.68698436,0.33391598
hsa-miR-20a-5p,0.60820115,0.5813009,0.13183789,0.78281355,0.7308968,0.5829278,0.7799254,0.83710825,0.6392148,0.7888295,0.765067,0.71725494,0.9075479,0.20082574,0.61971366,0.36532056,0.38228214,0.51624507,0.49827695,0.7149119,0.68245137,0.08647567,0.7754902,0.6940346,0.65236795,0.4617411,0.12953076,0.5814201,0.23008436,0.7682867,0.6148283,0.6022326,0.11056273,0.081349075,0.7439918,0.40392748,0.7156673,0.67968005,0.66896135,0.8282448,0.86531645,0.19404472,0.65336555,0.23828314
hsa-miR-106a-5p,0.7562837,0.47073078,0.4374613,0.8966032,0.8790313,0.7648891,0.83710825,0.8121119,0.82770586,0.7898951,0.7599738,0.77835816,0.73201615,0.25909013,0.68559486,0.42352498,0.39872178,0.75140613,0.6224519,0.82803935,0.6242985,0.13542254,0.846025,0.77042884,0.5713972,0.48620263,0.17378883,0.5610197,0.2353823,0.8114979,0.63991094,0.72960615,0.10653978,0.09283619,0.85053,0.5504187,0.62507135,0.6897549,0.6995633,0.7036795,0.8345577,0.4408181,0.8277391,0.42599764
hsa-miR-17-5p,0.15738648,0.10809692,0.1287034,0.91615665,0.80564505,0.8238746,0.6392148,0.82770586,0.857955,0.67032844,0.7355155,0.7514511,0.74986833,0.06423902,0.42210305,0.14936085,0.21669504,0.60158634,0.42019373,0.621339,0.53494954,0.034539476,0.7867776,0.49013805,0.5245791,0.2756667,0.036016077,0.39376193,0.16030674,0.7805705,0.09742638,0.63106155,0.030739162,0.052593805,0.74353796,0.413234,0.3307056,0.8448671,0.84835964,0.7078337,0.7482614,0.10086056,0.48514208,0.19794048
hsa-miR-20b-5p,0.31535578,0.24898404,0.15532054,0.85095686,0.77585745,0.6886919,0.7888295,0.7898951,0.67032844,0.66707426,0.6119858,0.80909294,0.6117158,0.080473855,0.44138116,0.3048282,0.24907817,0.75276077,0.49822727,0.7701681,0.6928167,0.046345398,0.72418046,0.71289116,0.44185802,0.34881797,0.11500446,0.5187709,0.1928121,0.6092147,0.28285256,0.4479095,0.052504126,0.056320664,0.6842806,0.32871696,0.4167331,0.77116156,0.675605,0.6733991,0.7953005,0.08997529,0.6211178,0.16142416
