,hsa-miR-340-5p,hsa-miR-124-3p,hsa-miR-506-3p,hsa-miR-19a-3p,hsa-miR-19b-3p,hsa-miR-106b-5p,hsa-miR-20a-5p,hsa-miR-106a-5p,hsa-miR-17-5p,hsa-miR-20b-5p,hsa-miR-93-5p,hsa-miR-27a-3p,hsa-miR-27b-3p,hsa-miR-137,hsa-miR-429,hsa-miR-200b-3p,hsa-miR-200c-3p,hsa-miR-92a-3p,hsa-miR-25-3p,hsa-miR-363-3p,hsa-miR-128-3p,hsa-miR-3714,hsa-miR-204-5p,hsa-miR-211-5p,hsa-miR-200a-3p,hsa-miR-135b-5p,hsa-miR-449b-5p,hsa-miR-34a-5p,hsa-miR-449a,hsa-miR-103a-3p,hsa-miR-107,hsa-miR-2110,hsa-miR-452-5p,hsa-miR-34b-5p,hsa-miR-143-5p,hsa-miR-18a-5p,hsa-miR-18b-5p,hsa-miR-873-5p,hsa-miR-10a-5p,hsa-miR-10b-5p,hsa-miR-196a-5p,hsa-miR-193b-3p,hsa-miR-3937,hsa-miR-450b-3p
hsa-miR-340-5p,0.0,0.010813574,-0.0012943422,0.48267904,0.46877667,0.5378153,0.5343653,0.6824478,0.08355061,0.2415199,0.26097155,0.04376996,0.060118083,0.02596292,0.07108194,0.0062210304,0.0964568,0.44568634,0.089650124,0.06962471,0.2440619,-0.02833937,0.11107521,0.25504664,0.2284139,0.044826526,0.004642559,0.01624707,0.07463587,0.023913212,0.040529847,0.013231047,0.37648752,0.0066054543,-0.014826593,0.076870285,0.1048413,-0.0077100545,-0.022334062,-0.038488425,0.03815913,0.026643325,0.046713553,0.0582091
hsa-miR-124-3p,0.010813574,0.0,-0.0047567314,0.52629036,0.6228785,0.60540473,0.57410914,0.46353903,0.10090517,0.24179229,0.15424848,0.034109037,0.03141386,0.048629217,0.09478432,0.15185802,0.15889117,0.5273292,0.26198113,0.082019605,0.065101236,0.008366764,0.13648857,0.35241592,0.26170784,0.015572588,-0.0028937038,0.0123876715,0.009209847,0.017671188,0.01458318,0.026841948,0.61572266,0.014756518,0.05603604,0.1309654,0.126852,0.003367797,0.0077453987,0.026686648,0.011898483,0.0011090962,-0.010797617,0.12910582
hsa-miR-506-3p,-0.0012943422,-0.0047567314,0.0,0.3293515,0.23985338,0.20555411,0.118991174,0.42461455,0.115856685,0.14247382,0.040350046,0.034504,0.0069767027,0.025049826,0.06479353,0.0078356415,0.009588544,0.3643426,0.121004276,0.062373053,0.005972489,0.0063820924,0.014480523,0.029268702,0.05858428,-0.0060174037,0.0046915594,0.009492428,0.013425121,0.0075859246,-0.00970309,3.5060273e-06,0.5656709,-0.0011630122,0.019593336,0.086826876,0.030963138,0.004912562,0.0074828495,-0.0034383165,0.00408304,0.0015392833,-0.008524306,0.088971145
hsa-miR-19a-3p,0.48267904,0.52629036,0.3293515,0.0,0.17275119,0.12764254,0.0028881216,0.08449128,0.05820167,0.18388262,-0.008497651,-0.020596318,0.10056446,0.0920533,0.22972292,0.05067654,0.13910453,0.03237048,0.35146153,0.51703763,0.2719138,0.14472108,0.23802271,0.17802793,0.17621271,0.44147712,0.0913363,0.43383363,0.15584135,0.56233275,0.3838472,0.14383498,0.2474513,0.073618844,0.17508835,0.19413133,0.4332691,0.26086766,0.16992083,0.04081763,0.5731586,0.3238415,0.709753,0.24525395
hsa-miR-19b-3p,0.46877667,0.6228785,0.23985338,0.17275119,0.0,0.08248926,-0.015829809,0.1323047,0.05891843,0.108783215,0.14193542,0.023457559,0.26345244,0.11673421,0.18734658,0.09769685,0.104178526,0.047097236,0.32072058,0.5673653,0.38902733,0.13322373,0.19807138,0.44467285,0.1335358,0.38638085,0.084443145,0.39774346,0.21136145,0.48816478,0.5328614,0.14151011,-0.13634744,0.06661665,0.09529088,0.2652239,0.45822996,0.3991258,0.043846495,-0.0047340384,0.47838104,0.34579954,0.6533049,0.28305638
hsa-miR-106b-5p,0.5378153,0.60540473,0.20555411,0.12764254,0.08248926,0.0,-0.19699758,-0.047222808,-0.009468292,0.021617675,-0.008974723,0.03957059,0.21727335,0.14457196,0.5152417,0.35237357,0.3559633,-0.04228952,-0.033369463,0.33030432,0.12648296,0.17070882,0.18721706,0.30908364,0.09935119,0.31743827,0.14262779,0.5783558,0.41531926,0.6966835,0.4863653,0.15725625,0.09876619,0.026587939,0.17413291,0.24110149,0.360488,0.17772594,0.061111066,0.07830283,0.46746624,0.3652991,0.57743895,0.3071739
hsa-miR-20a-5p,0.5343653,0.57410914,0.118991174,0.0028881216,-0.015829809,-0.19699758,0.0,0.057182856,-0.1407106,0.12175527,-0.014858419,-0.011832679,0.3704791,0.18358578,0.39683706,0.1692289,0.2266042,-0.1646759,0.06488316,0.37549248,0.120729454,0.050790723,0.08770155,0.29981002,0.14404397,0.37814146,0.111481704,0.4934099,0.18801868,0.5553873,0.56240606,0.10311689,0.14150268,0.052822016,0.10423249,0.110701166,0.43391788,0.20056255,-0.063311286,0.048319366,0.4964668,0.18658523,0.54382014,0.21154109
hsa-miR-106a-5p,0.6824478,0.46353903,0.42461455,0.08449128,0.1323047,-0.047222808,0.057182856,0.0,0.015593945,0.12282087,-0.022357581,0.04927053,0.1949474,0.24185017,0.46271825,0.22743331,0.24304384,0.07048519,0.18905814,0.48861995,0.06257656,0.0997376,0.15823632,0.37620422,0.063073166,0.40260297,0.15573978,0.4730095,0.19331662,0.5985985,0.5874888,0.099093944,0.26887625,0.06430912,0.21077077,0.25719234,0.34332195,0.21063738,-0.032709345,-0.089136966,0.46570808,0.4333586,0.7181937,0.39925557
hsa-miR-17-5p,0.08355061,0.10090517,0.115856685,0.05820167,0.05891843,-0.009468292,-0.1407106,0.015593945,0.0,0.0032541833,-0.046815936,0.022363463,0.21279958,0.046999067,0.19922642,-0.046730798,0.061017107,-0.07933461,-0.013200052,0.2819196,-0.026772419,-0.0011454679,0.098988935,0.09591348,0.01625509,0.19206707,0.017967032,0.30575168,0.11824105,0.56767106,0.045004193,0.023293328,0.17033164,0.02406674,0.1037787,0.12000769,0.048956167,0.36574957,0.116087005,-0.08498277,0.3794118,0.09340106,0.37559667,0.17119841
hsa-miR-20b-5p,0.2415199,0.24179229,0.14247382,0.18388262,0.108783215,0.021617675,0.12175527,0.12282087,0.0032541833,0.0,-0.055088457,0.1420187,0.07464705,0.063233905,0.21850453,0.10873654,0.09340023,0.08568653,0.064833485,0.4307487,0.13109471,0.010660454,0.0571062,0.31866655,-0.06646599,0.26521832,0.09695541,0.43076065,0.1507464,0.3963153,0.23043036,0.04505829,-0.012820389,0.0277936,0.044521295,0.035490647,0.13498364,0.29204404,0.008530769,0.0063248705,0.42645085,0.08251579,0.51157236,0.13468209
