,hsa-miR-340-5p,hsa-miR-124-3p,hsa-miR-506-3p,hsa-miR-19a-3p,hsa-miR-19b-3p,hsa-miR-106b-5p,hsa-miR-20a-5p,hsa-miR-106a-5p,hsa-miR-17-5p,hsa-miR-20b-5p,hsa-miR-93-5p,hsa-miR-27a-3p,hsa-miR-27b-3p,hsa-miR-137,hsa-miR-429,hsa-miR-200b-3p,hsa-miR-200c-3p,hsa-miR-92a-3p,hsa-miR-25-3p,hsa-miR-363-3p,hsa-miR-128-3p,hsa-miR-3714,hsa-miR-204-5p,hsa-miR-211-5p,hsa-miR-200a-3p,hsa-miR-135b-5p,hsa-miR-449b-5p,hsa-miR-34a-5p,hsa-miR-449a,hsa-miR-103a-3p,hsa-miR-107,hsa-miR-2110,hsa-miR-452-5p,hsa-miR-34b-5p,hsa-miR-143-5p,hsa-miR-18a-5p,hsa-miR-18b-5p,hsa-miR-873-5p,hsa-miR-10a-5p,hsa-miR-10b-5p,hsa-miR-196a-5p,hsa-miR-193b-3p,hsa-miR-3937,hsa-miR-450b-3p
hsa-miR-340-5p,0.17065832,0.49034175,0.60920423,0.08874701,0.11150278,0.15013935,0.15690342,0.09303439,0.35599962,0.5406625,0.4424893,0.16376007,0.18246281,0.30287743,0.17225763,0.16304263,0.23630294,0.08474925,0.30273974,0.14915338,0.17874014,0.11955846,0.2109412,0.12526044,0.27121428,0.23933095,0.19434819,0.27651408,0.33166113,0.1736355,0.3706172,0.14772256,0.09529959,0.7350381,0.12447887,0.2534731,0.2724197,0.12283366,0.09633431,0.08463975,0.11578572,0.062095337,0.87849075,0.49373713
hsa-miR-124-3p,0.49034175,0.7616774,0.59830517,0.77912056,0.68489426,0.46067715,0.7332215,0.65175474,1.3329629,1.0645976,1.2221633,1.1787027,0.8907878,0.88310754,0.30037424,0.26742795,0.2671518,0.27627403,1.1889486,1.2693131,1.1205057,0.6094684,1.3068539,0.48410565,1.0791811,0.2566415,0.28375408,0.99809873,0.83410484,0.578539,0.8452864,0.45479515,0.16737504,1.2937022,1.4588674,0.6447459,0.73341715,0.57002795,0.70535487,0.9760939,0.8451401,0.19449736,0.58897275,0.69485456
hsa-miR-506-3p,0.60920423,0.59830517,1.029164,1.4234684,1.5353975,1.192113,1.4230713,1.0671563,1.5834377,1.4339316,1.0745636,0.8914964,0.93755907,0.86289907,0.3077231,0.097695865,0.12907897,0.6325817,1.1211443,1.2219676,0.5429068,0.97690433,1.4491715,1.2548668,1.1404418,0.20432594,0.3944612,0.92827916,1.2130828,1.3410624,0.82583857,0.45620233,0.33135763,1.1897494,1.3141828,0.6018416,0.7856307,0.9256527,0.92936736,0.7841296,1.26127,0.3987023,1.2369516,0.97097415
hsa-miR-19a-3p,0.08874701,0.77912056,1.4234684,0.018307874,0.015310467,0.0025445446,0.0642498,0.023226155,0.021482427,0.037651546,0.048384152,0.064114094,0.08406215,0.47389424,0.20077722,0.26247382,0.24558944,0.048143625,0.04813003,0.011624847,0.026490513,0.917693,0.011751817,0.058930825,0.09038833,0.18658113,0.26041052,0.17243193,0.39358836,0.055856608,0.32491347,0.51119375,0.046218522,1.1349263,0.041439172,0.21094665,0.09943636,0.025622604,0.013348313,0.024561062,0.010510509,0.086788885,0.10585511,0.3951105
hsa-miR-19b-3p,0.11150278,0.68489426,1.5353975,0.015310467,0.04733082,0.03755158,0.0873042,0.024673248,0.044055652,0.04502481,0.029501623,0.042008087,0.046613265,0.6423426,0.23206045,0.23337813,0.22412845,0.035559446,0.03952672,0.009111666,0.010132351,0.98414516,0.025006376,0.036524862,0.0937156,0.14899439,0.42218325,0.14964819,0.42558634,0.061764654,0.22168262,0.44790375,0.0828729,1.0111548,0.033795774,0.17422244,0.07643894,0.008719459,0.03877715,0.04318627,0.039972194,0.088626474,0.07756434,0.32046795
hsa-miR-106b-5p,0.15013935,0.46067715,1.192113,0.0025445446,0.03755158,0.052731715,0.13327566,0.07579454,0.053383294,0.099520676,0.07031985,0.06473759,0.064639255,0.51694685,0.16310348,0.2306186,0.2875066,0.075938985,0.18686077,0.084669895,0.059486315,0.59347975,0.029970217,0.06841176,0.16466036,0.17039198,0.35082358,0.06860249,0.17393032,0.022513503,0.20561728,0.57702905,0.07459272,0.51536787,0.06319336,0.19426776,0.15198773,0.09273639,0.048063207,0.03960268,0.038229562,0.13140492,0.11867361,0.33679116
hsa-miR-20a-5p,0.15690342,0.7332215,1.4230713,0.0642498,0.0873042,0.13327566,0.052656554,0.053225968,0.09047373,0.059265118,0.07871174,0.0855576,0.02735811,0.54409367,0.28473064,0.38363773,0.37340176,0.111543976,0.124395534,0.06199824,0.06342446,0.44373897,0.06870086,0.0672354,0.14727558,0.1945733,0.28180367,0.12984124,0.22496516,0.08094646,0.2266586,0.4321891,0.060773365,0.6014665,0.06633443,0.2883299,0.1551197,0.08814407,0.08311526,0.045683254,0.04127953,0.116156876,0.14508896,0.3629036
hsa-miR-106a-5p,0.09303439,0.65175474,1.0671563,0.023226155,0.024673248,0.07579454,0.053225968,0.05843349,0.054432,0.0662981,0.052333042,0.06419356,0.07064004,0.63985866,0.23026969,0.32857838,0.3465273,0.05615502,0.13844395,0.04873287,0.0759604,0.5927749,0.042374976,0.05434573,0.16965277,0.18477373,0.38014063,0.14400724,0.24717396,0.06528797,0.20069078,0.37312,0.05873523,0.51437044,0.041280698,0.28512624,0.20421167,0.08755677,0.09355772,0.06947593,0.041121908,0.19028343,0.059142556,0.32814574
hsa-miR-17-5p,0.35599962,1.3329629,1.5834377,0.021482427,0.044055652,0.053383294,0.09047373,0.054432,0.033904336,0.09331979,0.074381314,0.05069368,0.06160031,0.595326,0.30198112,0.24374245,0.23099793,0.06347585,0.24323158,0.06645398,0.11207655,0.3085139,0.047756206,0.108023964,0.18860915,0.2922604,0.21852192,0.23751628,0.34946057,0.08227342,0.43859053,0.30690905,0.05329781,0.77544814,0.082023986,0.30919945,0.32476443,0.03795094,0.049313933,0.06408795,0.058809597,0.08488476,0.51656216,0.48050538
hsa-miR-20b-5p,0.5406625,1.0645976,1.4339316,0.037651546,0.04502481,0.099520676,0.059265118,0.0662981,0.09331979,0.1335005,0.16540799,0.07316803,0.124006875,0.34537128,0.33029866,0.38217893,0.45024303,0.050564196,0.12307134,0.04288048,0.07853163,0.20789501,0.07623971,0.05117344,0.2810178,0.23385161,0.4167358,0.1891919,0.27245316,0.11630789,0.35350147,0.44444972,0.099050514,0.5675954,0.14593643,0.33722064,0.23691069,0.06647188,0.096508734,0.10942038,0.04936554,0.1083256,0.15967876,0.43397248
