,hsa-miR-340-5p,hsa-miR-124-3p,hsa-miR-506-3p,hsa-miR-19a-3p,hsa-miR-19b-3p,hsa-miR-106b-5p,hsa-miR-20a-5p,hsa-miR-106a-5p,hsa-miR-17-5p,hsa-miR-20b-5p,hsa-miR-93-5p,hsa-miR-27a-3p,hsa-miR-27b-3p,hsa-miR-137,hsa-miR-429,hsa-miR-200b-3p,hsa-miR-200c-3p,hsa-miR-92a-3p,hsa-miR-25-3p,hsa-miR-363-3p,hsa-miR-128-3p,hsa-miR-3714,hsa-miR-204-5p,hsa-miR-211-5p,hsa-miR-200a-3p,hsa-miR-135b-5p,hsa-miR-449b-5p,hsa-miR-34a-5p,hsa-miR-449a,hsa-miR-103a-3p,hsa-miR-107,hsa-miR-452-5p,hsa-miR-2110,hsa-miR-34b-5p,hsa-miR-143-5p,hsa-miR-18a-5p,hsa-miR-18b-5p,hsa-miR-873-5p,hsa-miR-10a-5p,hsa-miR-10b-5p,hsa-miR-196a-5p,hsa-miR-193b-3p,hsa-miR-3937,hsa-miR-450b-3p
hsa-miR-340-5p,0.0,-0.27133563,-0.4199597,-0.08191131,-0.059155542,-0.020518972,-0.013754912,-0.07762393,0.18534128,0.37000418,0.27183098,-0.0068982504,0.011804483,0.015837742,-0.04633278,-0.10782961,-0.02052822,-0.08590907,-0.06568236,-0.028191937,0.008081827,-0.35810277,0.040282875,-0.04539788,0.07978464,0.06867262,0.02368987,-0.10198683,0.030603705,-0.14605974,-0.03807847,-0.07535873,-0.02293576,0.15634458,-0.046179455,-0.099786066,-0.06356668,-0.04782466,-0.07432401,-0.08601857,-0.114346676,-0.10856298,-0.05016159,-0.0591598
hsa-miR-124-3p,-0.27133563,0.0,-0.43085882,0.017443174,-0.07678312,-0.30100024,-0.028455911,-0.109922655,0.5712855,0.30292022,0.46048588,0.4170253,0.12911038,0.12143014,-0.46130314,-0.4942494,-0.49452558,-0.48540333,0.42727128,0.5076357,0.35882837,-0.15220897,0.54517645,-0.27757174,0.31750372,-0.5050359,-0.4779233,0.23642133,0.072427474,-0.18313839,0.08360903,-0.59430236,-0.30688223,0.5320249,0.69719005,-0.116931476,-0.02826025,-0.19164944,-0.056322496,0.21441653,0.08346273,-0.56718004,-0.33967957,-0.06682284
hsa-miR-506-3p,-0.4199597,-0.43085882,0.0,0.39430436,0.5062336,0.16294913,0.39390737,0.03799232,0.5542737,0.40476766,0.045399603,-0.13766757,-0.091604866,-0.16626488,-0.72144085,-0.93146807,-0.900085,-0.39658225,0.091980346,0.19280359,-0.48625714,-0.052259658,0.42000753,0.22570293,0.1112778,-0.824838,-0.63470274,-0.100884795,0.18391877,0.3118984,-0.20332538,-0.6978063,-0.5729616,0.16058536,0.28501877,-0.42732233,-0.24353328,-0.10351127,-0.09979657,-0.2450343,0.23210612,-0.63046163,0.20778766,-0.058189817
hsa-miR-19a-3p,-0.08191131,0.017443174,0.39430436,0.0,-0.032020353,-0.05018717,0.011593244,-0.03520734,-0.012421912,-0.09584895,-0.02415487,-0.024697203,-0.017430829,0.18685456,-0.017813196,-0.008398423,-0.0112417275,-0.021359395,-0.32029206,-0.16572048,-0.0903696,0.4400318,-0.026780771,-0.04544085,-0.101041295,0.030079188,0.18187888,-0.206069,0.092530936,-0.26383862,-0.08378223,-0.016851803,0.39119664,0.5562328,-0.02456494,-0.14231254,-0.23655,-0.051136,-0.030017287,-0.008909405,-0.21962188,-0.021819275,-0.82279724,-0.15778644
hsa-miR-19b-3p,-0.059155542,-0.07678312,0.5062336,-0.032020353,0.0,-0.015180136,0.03464764,-0.033760246,-0.0032751677,-0.08847569,-0.0430374,-0.046803214,-0.05487971,0.35530296,0.013470035,-0.03749411,-0.032702703,-0.033943575,-0.32889536,-0.16823365,-0.10672776,0.5064839,-0.022324443,-0.06784681,-0.097714014,-0.007507556,0.34365162,-0.22885272,0.12452892,-0.25793058,-0.18701307,0.01980257,0.32790667,0.43246117,-0.03220834,-0.17903674,-0.2595474,-0.06803914,-0.00855367,-0.0041445484,-0.1901602,-0.01998169,-0.851088,-0.23242898
hsa-miR-106b-5p,-0.020518972,-0.30100024,0.16294913,-0.05018717,-0.015180136,0.0,0.08054395,0.017361045,0.0006515792,-0.033979822,-0.0022191664,-0.024073713,-0.036853723,0.22990717,-0.055486944,-0.040253647,0.030675443,0.0064359605,-0.1815613,-0.09267542,-0.057373792,0.11581852,-0.0227615,-0.035959918,-0.026769262,0.013890026,0.27229193,-0.30989844,-0.1271271,-0.29718173,-0.20307842,0.011522394,0.45703197,-0.0633257,-0.0028107564,-0.15899141,-0.18399863,0.015977792,-0.0046685096,-0.013129039,-0.19190283,0.022796765,-0.8099787,-0.21610579
hsa-miR-20a-5p,-0.013754912,-0.028455911,0.39390737,0.011593244,0.03464764,0.08054395,0.0,-0.005207523,0.03781717,-0.07423538,0.0061727194,-0.0032536946,-0.07413487,0.257054,0.06614021,0.11276547,0.11657061,0.042040955,-0.24402656,-0.11534708,-0.05343565,-0.033922255,0.016044302,-0.03713627,-0.04415404,0.038071353,0.20327201,-0.24865969,-0.07609226,-0.23874877,-0.1820371,-0.0022969604,0.31219202,0.022772951,0.0003303108,-0.06492929,-0.18086664,0.011385468,0.030458702,-0.006973303,-0.18885286,0.007548717,-0.7835634,-0.18999334
hsa-miR-106a-5p,-0.07762393,-0.109922655,0.03799232,-0.03520734,-0.033760246,0.017361045,-0.005207523,0.0,-0.0040014917,-0.067202404,-0.020205982,-0.024617739,-0.030852934,0.35281897,0.011679273,0.05770615,0.08969615,-0.013348004,-0.22997814,-0.12861244,-0.04089971,0.11511372,-0.016058516,-0.050025944,-0.021776848,0.028271785,0.30160898,-0.23449367,-0.053883452,-0.25440726,-0.20800492,-0.0043350956,0.25312293,-0.06432312,-0.024723414,-0.068132944,-0.1317747,0.010798174,0.035124235,0.0110424375,-0.18901049,0.081675276,-0.86950976,-0.2247512
hsa-miR-17-5p,0.18534128,0.5712855,0.5542737,-0.012421912,-0.0032751677,0.0006515792,0.03781717,-0.0040014917,0.0,-0.04018071,0.001842288,-0.038117617,-0.039892666,0.30828634,0.08339071,-0.027129792,-0.02583322,-0.006027177,-0.12519051,-0.110891335,-0.00478356,-0.1691473,0.009223618,0.0036522888,-0.0028204718,0.13575846,0.13999029,-0.14098462,0.04840316,-0.23742181,0.029894833,-0.009772517,0.18691197,0.19675459,0.016019871,-0.04405973,-0.011221933,-0.03880766,0.0059483317,0.030183613,-0.1713228,-0.023723397,-0.41209018,-0.07239157
hsa-miR-20b-5p,0.37000418,0.30292022,0.40476766,-0.09584895,-0.08847569,-0.033979822,-0.07423538,-0.067202404,-0.04018071,0.0,0.031907488,-0.060332462,-0.009493625,0.05833158,0.111708246,0.111306675,0.19341189,-0.0829363,-0.24535073,-0.13446485,-0.054968867,-0.2697662,-0.05726078,-0.08232705,0.0895882,0.07734966,0.2832353,-0.18930902,-0.028604269,-0.20338735,-0.05519424,-0.034449983,0.31094924,-0.0110981045,0.012435926,-0.016038539,-0.099075675,-0.06702861,-0.036991764,-0.024080118,-0.18076685,-0.025174893,-0.7689736,-0.11892445
