,combo_rep_1,combo_rep_2,combo_rep_3,HSA_rep_1,HSA_rep_2,HSA_rep_3
hsa-miR-3937 + hsa-miR-429,0.4708011165373323,0.4079390675428525,0.3475342343857517,0.7878111160207498,0.6362709720881524,0.8673942173436826
hsa-miR-25-3p + hsa-miR-3937,0.6458070895677666,0.295533808261547,0.42685026879228183,0.7878111160207498,0.6362709720881524,0.8673942173436826
hsa-miR-135b-5p + hsa-miR-3714,0.19188534328358636,0.09092507511906608,0.20590767186609718,0.5104800933469188,0.8989154160063777,0.2705585913132036
hsa-miR-103a-3p + hsa-miR-3714,0.4395213536716101,0.15189188302397066,1.0669779026142199,0.5104800933469188,0.8989154160063777,0.2705585913132036
hsa-miR-2110 + hsa-miR-452-5p,0.4699197330427426,0.3590757240117025,0.21824883191013264,0.12511706364952005,0.12840302150879296,0.13654726192467292
hsa-miR-200a-3p + hsa-miR-2110,0.328059217747413,0.2201536652630546,0.321358492359255,0.1904799886909949,0.2283400343535666,0.14577341562719676
hsa-miR-18b-5p + hsa-miR-2110,0.43131446440767596,0.30060261888927425,0.1942503096969745,0.26237034150742117,0.3814457941383044,0.35063450543060604
hsa-miR-128-3p + hsa-miR-429,0.2587224839612232,0.3103044481867908,0.1404727427062228,0.2653702274758379,0.1720917160277771,0.22351185622248154
hsa-miR-128-3p + hsa-miR-25-3p,0.10030970182106971,0.09061983296051741,0.03441333772507481,0.26301222013610653,0.30530253534916285,0.320699281812177
hsa-miR-17-5p + hsa-miR-873-5p,0.037049221083800786,0.09739249563070479,0.0691267845138002,0.08094547617742931,0.10175835389586049,0.07215371219402426
hsa-miR-34b-5p + hsa-miR-873-5p,0.5093026801020065,0.5128388638186762,0.44797162574722105,0.37685532670772026,0.7163400482496247,0.5310044844183748
hsa-miR-135b-5p + hsa-miR-452-5p,0.08104693536745396,0.11785053324309192,0.059450126324685416,0.28353883633032384,0.09425393608688618,0.12283472786027963
hsa-miR-103a-3p + hsa-miR-452-5p,0.027849709093477438,0.05869322360323781,0.031842149816464646,0.2663790078470415,0.34778602201313585,0.2825922491515425
hsa-miR-3714 + hsa-miR-3937,0.9636290834114339,1.3641523866538248,1.185314283611148,0.7878111160207498,0.6362709720881524,0.8673942173436826
hsa-miR-363-3p + hsa-miR-3937,0.5073636105075695,0.43704864137193367,0.43217957253198647,0.7878111160207498,0.6362709720881524,0.8673942173436826
hsa-miR-20b-5p + hsa-miR-3937,0.26460430913399396,0.1348290584996224,0.11665168070300162,0.7878111160207498,0.6362709720881524,0.8673942173436826
hsa-miR-106a-5p + hsa-miR-3714,0.6613265513591763,0.55725049695461,0.3354850816672901,0.5104800933469188,0.8989154160063777,0.2705585913132036
hsa-miR-3714 + hsa-miR-93-5p,0.3022297760901613,0.3298637850908819,0.33920843363446573,0.5104800933469188,0.8989154160063777,0.2705585913132036
hsa-miR-2110 + hsa-miR-450b-3p,0.3569079197369187,0.6010928848419544,0.43780557971686307,0.4844107131502658,0.478668909185469,0.5935276383876096
hsa-miR-196a-5p + hsa-miR-2110,0.2267359762220455,0.2674942029485707,0.1455902924499162,0.22862471398288448,0.29896132436351525,0.14308416164819582
hsa-miR-10b-5p + hsa-miR-2110,0.15665461452265858,0.2297950825444303,0.14683480141424013,0.12511706364952005,0.12840302150879296,0.13654726192467292
hsa-miR-128-3p + hsa-miR-363-3p,0.07876525542761605,0.11298111838170499,0.0863806521736092,0.11555337334132727,0.2040871295880112,0.1364501406451077
hsa-miR-128-3p + hsa-miR-20b-5p,0.10085813903134373,0.11001069597067328,0.09688773525439409,0.12745461065489183,0.229434048419559,0.2290353923814017
hsa-miR-506-3p + hsa-miR-873-5p,1.1626037413766326,1.2993380318508039,0.7470379924461426,0.7958581289727749,1.5007399818443936,1.0543721019693495
hsa-miR-34a-5p + hsa-miR-873-5p,0.20047602500537698,0.37128535876354196,0.24947475672656233,0.30246072091611514,0.32584008232295075,0.5132248423432366
hsa-miR-106a-5p + hsa-miR-452-5p,0.05696667581343129,0.11722625682659651,0.042213386456633334,0.09932583721004384,0.10754678502776874,0.08860157536605294
hsa-miR-452-5p + hsa-miR-93-5p,0.055928281965437664,0.07805362802015584,0.037209306702732356,0.11593725692457432,0.14539931080543486,0.10274716426627231
hsa-miR-2110 + hsa-miR-3937,0.16365084075114456,0.17051283817251123,0.2366907265148596,0.7878111160207498,0.6362709720881524,0.8673942173436826
hsa-miR-211-5p + hsa-miR-3937,0.1235667286454254,0.13096822611696582,0.05841106700216588,0.7878111160207498,0.6362709720881524,0.8673942173436826
hsa-miR-20a-5p + hsa-miR-3937,0.17502862513526035,0.18867244259194685,0.12236325882747023,0.7878111160207498,0.6362709720881524,0.8673942173436826
hsa-miR-18a-5p + hsa-miR-3714,0.1762412919264402,0.07082767815470027,0.24203806931714783,0.5104800933469188,0.8989154160063777,0.2705585913132036
hsa-miR-3714 + hsa-miR-92a-3p,0.19103918244693635,0.11062744146960406,0.0666034336647483,0.5104800933469188,0.8989154160063777,0.2705585913132036
hsa-miR-2110 + hsa-miR-340-5p,0.17219200150830694,0.20830213808494732,0.14186435016280344,0.20337828793251983,0.18058671086627506,0.13916925987753864
hsa-miR-137 + hsa-miR-2110,0.3218199548353856,0.45824454030918255,0.38110374650644563,0.24243983009238573,0.25953938737205956,0.2594769601304156
hsa-miR-10a-5p + hsa-miR-2110,0.15969902791791213,0.20599246959833645,0.07484723215462905,0.12511706364952005,0.12840302150879296,0.13654726192467292
hsa-miR-128-3p + hsa-miR-211-5p,0.09981132363017027,0.09106482756187059,0.036628688352365504,0.09274006566729008,0.22050823375539713,0.060095534353652266
hsa-miR-128-3p + hsa-miR-20a-5p,0.06369081313717857,0.09562874334597239,0.07175196941186227,0.09274006566729008,0.22050823375539713,0.060095534353652266
hsa-miR-449b-5p + hsa-miR-873-5p,0.06045352166272429,0.07529109124995143,0.11409435939198294,0.13519182360886423,0.09596718299656912,0.08161819968357974
hsa-miR-27b-3p + hsa-miR-873-5p,0.07289556637857107,0.055391031606627894,0.07941869307177933,0.08681749861617058,0.15036217824149523,0.11580083906286079
hsa-miR-18a-5p + hsa-miR-452-5p,0.07730237225497981,0.13236262108907645,0.06512876918339232,0.335360575645355,0.4452013565208981,0.31989813282127905
hsa-miR-452-5p + hsa-miR-92a-3p,0.018940604181375886,0.07388565496298642,0.023772322058763923,0.06787722145554777,0.10997248870416487,0.06981330465716404
hsa-miR-128-3p + hsa-miR-3937,0.7323745583025139,0.5323769146443216,0.3641536991492476,0.7878111160207498,0.6362709720881524,0.8673942173436826
hsa-miR-204-5p + hsa-miR-3937,0.2735116659660082,0.22912394683309226,0.24702555331982573,0.7878111160207498,0.6362709720881524,0.8673942173436826
hsa-miR-19b-3p + hsa-miR-3937,0.12535353073940894,0.11202229146646481,0.09537494089085574,0.7878111160207498,0.6362709720881524,0.8673942173436826
hsa-miR-17-5p + hsa-miR-3714,0.5572416940277054,0.12418808907197185,0.4438059999450255,0.5104800933469188,0.8989154160063777,0.2705585913132036
hsa-miR-34b-5p + hsa-miR-3714,1.0288575101449848,0.8093415239851955,0.41084866055767344,0.5104800933469188,0.8989154160063777,0.2705585913132036
hsa-miR-200c-3p + hsa-miR-2110,0.3601308776322068,0.5189189024658576,0.25877161065255094,0.24985010708833846,0.25988805766164835,0.2378384252673321
hsa-miR-124-3p + hsa-miR-2110,0.6054893919542452,0.46317779276986304,0.4324087413048409,0.7518372985200191,0.6425714926789895,0.9958674570052801
hsa-miR-128-3p + hsa-miR-204-5p,0.09743883499509465,0.09621365547847478,0.013560746030777285,0.09274006566729008,0.22050823375539713,0.060095534353652266
hsa-miR-128-3p + hsa-miR-19b-3p,0.05425096105918945,0.06186331510500057,0.0098640960505541,0.09274006566729008,0.22050823375539713,0.060095534353652266
hsa-miR-449a + hsa-miR-873-5p,0.22165850303932927,0.28130293499734127,0.18237710585789668,0.3909877717477133,0.3330643347778114,0.24343516052753672
hsa-miR-27a-3p + hsa-miR-873-5p,0.06737057213887059,0.07851463000013258,0.03003861906130719,0.0916485185199486,0.10742080032818899,0.11857506923684116
hsa-miR-17-5p + hsa-miR-452-5p,0.045508284849909306,0.10169417786546034,0.04617704743593267,0.07966035759383695,0.08977414606501757,0.07544797538943378
hsa-miR-34b-5p + hsa-miR-452-5p,0.30369518214171987,0.34809301551969724,0.35153925103414785,0.37685532670772026,0.7163400482496247,0.5310044844183748
hsa-miR-3937 + hsa-miR-873-5p,0.6034651104303312,0.630287396624387,0.4604787246680918,0.7878111160207498,0.6362709720881524,0.8673942173436826
hsa-miR-200b-3p + hsa-miR-3937,0.20058612694886607,0.3414132109161985,0.2671238177588794,0.7878111160207498,0.6362709720881524,0.8673942173436826
hsa-miR-19a-3p + hsa-miR-3937,0.16581514803363234,0.17617494845245413,0.09786899596683458,0.7878111160207498,0.6362709720881524,0.8673942173436826
hsa-miR-3714 + hsa-miR-506-3p,0.9187511526141521,0.8930484651401258,1.2695211774960826,0.7958581289727749,1.5007399818443936,1.0543721019693495
hsa-miR-34a-5p + hsa-miR-3714,0.46271670447605606,1.343024989061607,0.4830442129410706,0.5104800933469188,0.8989154160063777,0.2705585913132036
hsa-miR-193b-3p + hsa-miR-2110,0.14821113760471644,0.11394013721214591,0.07542861735150967,0.12511706364952005,0.12840302150879296,0.13654726192467292
hsa-miR-107 + hsa-miR-2110,0.6109717812256049,0.6022262885545129,0.20947733772880187,0.12066527896676345,0.6289203399922719,0.3910384455815076
hsa-miR-128-3p + hsa-miR-873-5p,0.1206167837140832,0.09885250083821026,0.0366505765558342,0.09274006566729008,0.22050823375539713,0.060095534353652266
hsa-miR-128-3p + hsa-miR-200b-3p,0.25776864242744313,0.2052174726821351,0.2525067168952686,0.2859831561428658,0.24870569849986857,0.2972721502703334
hsa-miR-128-3p + hsa-miR-19a-3p,0.08871118645560368,0.05961616547134966,0.023033985463459947,0.09274006566729008,0.22050823375539713,0.060095534353652266
hsa-miR-429 + hsa-miR-873-5p,0.19032070997280334,0.24168744845180923,0.1823120282624404,0.2653702274758379,0.1720917160277771,0.22351185622248154
hsa-miR-25-3p + hsa-miR-873-5p,0.10264458142576524,0.15688526065979308,0.10308954913058892,0.26301222013610653,0.30530253534916285,0.320699281812177
hsa-miR-452-5p + hsa-miR-506-3p,0.37922084082921237,0.40935905430379904,0.2116886044092277,0.7958581289727749,1.5007399818443936,1.0543721019693495
hsa-miR-34a-5p + hsa-miR-452-5p,0.07634252045040223,0.0500150741135749,0.03795749173170807,0.30246072091611514,0.32584008232295075,0.5132248423432366
hsa-miR-3937 + hsa-miR-452-5p,0.10995451449579022,0.11885486882415466,0.03974620362057776,0.7878111160207498,0.6362709720881524,0.8673942173436826
hsa-miR-200a-3p + hsa-miR-3937,0.32464109543881076,0.44831306280615824,0.24737031744929888,0.7878111160207498,0.6362709720881524,0.8673942173436826
hsa-miR-18b-5p + hsa-miR-3937,0.180662338318472,0.25788118086248446,0.26042511063601204,0.7878111160207498,0.6362709720881524,0.8673942173436826
hsa-miR-3714 + hsa-miR-449b-5p,0.16697840047473564,0.42408109634756996,0.2155523060602771,0.5104800933469188,0.8989154160063777,0.2705585913132036
hsa-miR-27b-3p + hsa-miR-3714,0.40722445809156094,0.9166480503762957,0.5431104617711172,0.5104800933469188,0.8989154160063777,0.2705585913132036
hsa-miR-143-5p + hsa-miR-2110,0.33460478326982934,0.29705260039680015,0.21658730007132693,0.12511706364952005,0.12840302150879296,0.13654726192467292
hsa-miR-106b-5p + hsa-miR-2110,0.6182834370672161,0.7402562614784766,0.4462030801513007,0.12511706364952005,0.12840302150879296,0.13654726192467292
hsa-miR-128-3p + hsa-miR-452-5p,0.044039922486438274,0.1139271365050003,0.05122396809993044,0.09274006566729008,0.22050823375539713,0.060095534353652266
hsa-miR-128-3p + hsa-miR-200a-3p,0.08951368514597592,0.14420861574403177,0.10214632232804537,0.1904799886909949,0.2283400343535666,0.14577341562719676
hsa-miR-128-3p + hsa-miR-18b-5p,0.32147548022992817,0.37476317174125023,0.09281255447941325,0.26237034150742117,0.3814457941383044,0.35063450543060604
hsa-miR-363-3p + hsa-miR-873-5p,0.09731459616134107,0.12286384323293328,0.07541766719327186,0.11555337334132727,0.2040871295880112,0.1364501406451077
hsa-miR-20b-5p + hsa-miR-873-5p,0.13964759277370353,0.12732327666727491,0.09035740815196046,0.12745461065489183,0.229434048419559,0.2290353923814017
hsa-miR-449b-5p + hsa-miR-452-5p,0.1793556225468035,0.301618768605005,0.23497321394877968,0.13519182360886423,0.09596718299656912,0.08161819968357974
hsa-miR-27b-3p + hsa-miR-452-5p,0.09096662028418866,0.09979495718046853,0.05523979700463975,0.08681749861617058,0.15036217824149523,0.11580083906286079
hsa-miR-3937 + hsa-miR-450b-3p,0.6117257055291437,0.3603027328157092,0.36932011089923694,0.7878111160207498,0.6362709720881524,0.8673942173436826
hsa-miR-196a-5p + hsa-miR-3937,0.9342656324171689,0.6601111735867317,0.34787527143617863,0.7878111160207498,0.6362709720881524,0.8673942173436826
hsa-miR-10b-5p + hsa-miR-3937,0.8465545881026759,0.6572940648005803,0.6880874447285823,0.7878111160207498,0.6362709720881524,0.8673942173436826
hsa-miR-3714 + hsa-miR-449a,0.41812959226923746,0.6960833976790951,0.27718626030945,0.5104800933469188,0.8989154160063777,0.2705585913132036
hsa-miR-27a-3p + hsa-miR-3714,0.21794616442417986,0.2881150269550574,0.6899173846340915,0.5104800933469188,0.8989154160063777,0.2705585913132036
hsa-miR-135b-5p + hsa-miR-2110,0.1501540762113397,0.09806344664945724,0.12596581616275776,0.28353883633032384,0.09425393608688618,0.12283472786027963
hsa-miR-103a-3p + hsa-miR-2110,0.27399640347268706,0.25787189464309473,0.18037363035668608,0.2663790078470415,0.34778602201313585,0.2825922491515425
hsa-miR-128-3p + hsa-miR-450b-3p,0.3761871984928648,0.471822932845002,0.37855117256236204,0.4844107131502658,0.478668909185469,0.5935276383876096
hsa-miR-128-3p + hsa-miR-196a-5p,0.12323930439704467,0.19786194084771108,0.13812512083889092,0.22862471398288448,0.29896132436351525,0.14308416164819582
hsa-miR-10b-5p + hsa-miR-128-3p,0.10708326704590194,0.11763504549035131,0.07149021571867634,0.09274006566729008,0.22050823375539713,0.060095534353652266
hsa-miR-211-5p + hsa-miR-873-5p,0.039251679636285355,0.062006281508335835,0.03810777035416102,0.10803838631470127,0.08792267256195826,0.10342187605381645
hsa-miR-20a-5p + hsa-miR-873-5p,0.11980159789206887,0.1328750749152852,0.07974145066302404,0.060774100918649876,0.12074814460838075,0.09929340037500153
hsa-miR-449a + hsa-miR-452-5p,0.142585429480455,0.1661450359920966,0.1751797164904146,0.3909877717477133,0.3330643347778114,0.24343516052753672
hsa-miR-27a-3p + hsa-miR-452-5p,0.05100115622484828,0.09999757113772849,0.03605465481890356,0.0916485185199486,0.10742080032818899,0.11857506923684116
hsa-miR-340-5p + hsa-miR-3937,0.8541244105828213,0.6694374165820203,0.7618304896496685,0.7878111160207498,0.6362709720881524,0.8673942173436826
hsa-miR-137 + hsa-miR-3937,0.24582142573756682,0.4118977828686896,0.3818615455358211,0.7878111160207498,0.6362709720881524,0.8673942173436826
hsa-miR-10a-5p + hsa-miR-3937,0.6361430783025741,0.7104383864244552,0.4921629404417426,0.7878111160207498,0.6362709720881524,0.8673942173436826
hsa-miR-3714 + hsa-miR-429,0.09066556271117997,0.127956478172406,0.0450831851431175,0.5104800933469188,0.8989154160063777,0.2705585913132036
hsa-miR-25-3p + hsa-miR-3714,0.22536996482452146,0.21298528170339806,0.1186730536377922,0.5104800933469188,0.8989154160063777,0.2705585913132036
hsa-miR-106a-5p + hsa-miR-2110,0.5273073968393737,0.2758459191270376,0.4769477458858871,0.12511706364952005,0.12840302150879296,0.13654726192467292
hsa-miR-2110 + hsa-miR-93-5p,0.15611375989871898,0.1697682794198651,0.4892860547144521,0.12511706364952005,0.12840302150879296,0.13654726192467292
hsa-miR-128-3p + hsa-miR-340-5p,0.2368954362689622,0.14951070136183953,0.13725332909688678,0.20337828793251983,0.18058671086627506,0.13916925987753864
hsa-miR-128-3p + hsa-miR-137,0.6764433489206964,0.7409022315352684,0.5716529548981505,0.24243983009238573,0.25953938737205956,0.2594769601304156
hsa-miR-10a-5p + hsa-miR-128-3p,0.09109640606381918,0.15335928212571465,0.04712294469061283,0.09274006566729008,0.22050823375539713,0.060095534353652266
hsa-miR-204-5p + hsa-miR-873-5p,0.011486444540163943,0.024826038930617546,0.00341096255077563,0.08094547617742931,0.10175835389586049,0.07215371219402426
hsa-miR-19b-3p + hsa-miR-873-5p,0.010949881401026214,0.04400889083280414,0.03217588645080978,0.08094547617742931,0.10175835389586049,0.07215371219402426
hsa-miR-429 + hsa-miR-452-5p,0.11371804403807714,0.12921437913291578,0.08871508390819643,0.2653702274758379,0.1720917160277771,0.22351185622248154
hsa-miR-25-3p + hsa-miR-452-5p,0.10203269161852044,0.09381027459299145,0.04609471346449235,0.26301222013610653,0.30530253534916285,0.320699281812177
hsa-miR-200c-3p + hsa-miR-3937,0.3592823852249888,0.29527521800560796,0.2742462844516046,0.7878111160207498,0.6362709720881524,0.8673942173436826
hsa-miR-124-3p + hsa-miR-3937,0.41561774346923713,0.6076639478163997,0.8214487994845449,0.7518372985200191,0.6425714926789895,0.9958674570052801
hsa-miR-363-3p + hsa-miR-3714,0.1906569543334354,0.22175931450366626,0.10207323430794894,0.5104800933469188,0.8989154160063777,0.2705585913132036
