combination,ci,log2_ci,neglog10_p_nl,same_family,dual_positive,nl_synergy,cbca_improvement
hsa-miR-3937 + hsa-miR-429,1.8686488692467476,0.9019955031720491,1.7315296334371986,False,False,-0.3550672956622162,0.06818160969640519
hsa-miR-25-3p + hsa-miR-3937,1.6748217364323514,0.7440075471218682,1.1222734494465376,False,False,-0.3077617129436632,-0.10671138315046394
hsa-miR-135b-5p + hsa-miR-3714,3.437470668914019,1.7813474034176564,0.8016906291412219,False,False,-0.39707867013258347,0.19408745104539205
hsa-miR-103a-3p + hsa-miR-3714,1.013002337533999,0.018637503205998072,0.007172545069167409,False,False,-0.007187653785566406,0.18172387778437837
hsa-miR-2110 + hsa-miR-452-5p,0.3724702547374594,-1.4248028775172052,1.023636897089398,False,False,0.21905898062719728,-0.06684301000517276
hsa-miR-200a-3p + hsa-miR-2110,0.6492778564976399,-0.6230920875333589,1.083622343527418,False,False,0.10165931223265481,0.16768476163681947
hsa-miR-18b-5p + hsa-miR-2110,1.073726681158224,0.10262679972909435,0.10374018095180182,False,False,-0.02276108269413557,0.16589849275711963
hsa-miR-128-3p + hsa-miR-429,0.9316055005407723,-0.10220893711244868,0.09971229373420819,False,False,0.01617529170938012,-0.18932339536231294
hsa-miR-128-3p + hsa-miR-25-3p,3.9451615549596055,1.980084380027522,2.8738158111603145,False,False,-0.22122372159692813,-0.16699451050794864
hsa-miR-17-5p + hsa-miR-873-5p,1.251949789528031,0.324176702964228,0.35022833238037776,False,False,-0.017096347013002763,-0.4719311897530274
hsa-miR-34b-5p + hsa-miR-873-5p,1.1048128082157267,0.1438019501269581,0.18313641744205592,False,False,-0.05136222990260536,0.17547846513492288
hsa-miR-135b-5p + hsa-miR-452-5p,1.9378059253967463,0.9544240895930496,0.51950762606929,False,False,-0.08075996844741942,-0.14909428009298056
hsa-miR-103a-3p + hsa-miR-452-5p,7.574917886397416,2.921230249571816,2.3819863798402223,False,False,-0.25945739883284663,-0.41498913086503786
hsa-miR-3714 + hsa-miR-3937,0.6522669651274339,-0.6164655316025246,1.2915890497506408,False,False,0.4072064827412739,0.14942780365714114
hsa-miR-363-3p + hsa-miR-3937,1.6646011292651839,0.7351765209782657,1.4662425801588788,False,False,-0.3049614936803652,-0.057476155485254504
hsa-miR-20b-5p + hsa-miR-3937,4.440113723189986,2.1505966283278815,2.508728325903109,False,False,-0.5917970857053223,-0.2812931951880413
hsa-miR-106a-5p + hsa-miR-3714,1.081008325379473,0.11237763402300509,0.06953364467852194,False,False,-0.041963990228474524,0.07935137601304426
hsa-miR-3714 + hsa-miR-93-5p,1.7295898800100722,0.7904299868681358,0.4869504940543182,False,False,-0.236217368616997,0.13521769703033648
hsa-miR-2110 + hsa-miR-450b-3p,1.1152028520837733,0.15730615595478292,0.25563339060190576,False,False,-0.05360029214253603,0.16712588647056567
hsa-miR-196a-5p + hsa-miR-2110,1.0482162258671204,0.06793634646477625,0.061806747453733955,False,False,-0.010283242791354369,0.17906365060036433
hsa-miR-10b-5p + hsa-miR-2110,0.7314432506360256,-0.451182158345797,0.6818313388096818,False,False,0.04773905046611435,0.19022742858997985
hsa-miR-128-3p + hsa-miR-363-3p,1.6398645257956286,0.713576634333683,0.8399303529904251,False,False,-0.05932120586383868,-0.16502553436514697
hsa-miR-128-3p + hsa-miR-20b-5p,1.9038555406556654,0.92892401505011,0.9585765123419697,False,False,-0.09272249373314718,-0.33240588497674206
hsa-miR-506-3p + hsa-miR-873-5p,1.0442478474410493,0.06246416960621281,0.06195348170570832,False,False,-0.047330149037646096,0.18919971862446702
hsa-miR-34a-5p + hsa-miR-873-5p,1.390009023340813,0.4750942483349625,0.558628824626452,False,False,-0.10676316836227379,0.03586157901301765
hsa-miR-106a-5p + hsa-miR-452-5p,1.3653676973817368,0.4492895253235398,0.43200389640978937,False,False,-0.026355959502401466,-0.35434391326819104
hsa-miR-452-5p + hsa-miR-93-5p,2.1267664255178453,1.0886615964152624,1.68650630942197,False,False,-0.06429750510265189,-0.4360492426038607
hsa-miR-2110 + hsa-miR-3937,4.014116880980069,2.0050826249604574,2.096444052323921,False,False,-0.5735406333380232,0.19327846484102829
hsa-miR-211-5p + hsa-miR-3937,7.322273318996089,2.872291626223832,2.2375453299472836,False,False,-0.659510094562676,-0.13967879487518378
hsa-miR-20a-5p + hsa-miR-3937,4.7143478347712415,2.237058207673019,2.092014262012653,False,False,-0.6018039929659692,-0.31235426112340237
hsa-miR-18a-5p + hsa-miR-3714,3.4347371134408977,1.7801996828428555,0.8099252643449394,False,False,-0.3969490204227372,0.1950358547770208
hsa-miR-3714 + hsa-miR-92a-3p,4.561745018587839,2.1895858086185864,0.8707793186651736,False,False,-0.4372280143617371,0.12145053271982069
hsa-miR-2110 + hsa-miR-340-5p,1.0014851274277903,0.00214099654204137,0.003145939544084346,False,False,-0.0002585896400919552,0.18725703729905696
hsa-miR-137 + hsa-miR-2110,0.6557673128505306,-0.6087441034395865,1.1255814399903934,False,False,0.13323735468538428,0.1665338174270047
hsa-miR-10a-5p + hsa-miR-2110,0.8854325869927522,-0.1755456242890493,0.15208926438988116,False,False,0.016823794195963915,0.19106769674393717
hsa-miR-128-3p + hsa-miR-211-5p,1.6410368874964838,0.7146076683520088,0.36310102935273864,False,False,-0.04861299807731104,-0.23461060810483012
hsa-miR-128-3p + hsa-miR-20a-5p,1.6157067917834562,0.6921654107009558,0.36066002768011574,False,False,-0.04742410262710876,-0.3119556500891234
hsa-miR-449b-5p + hsa-miR-873-5p,1.251915197231945,0.3241368396854306,0.39108903970849757,False,False,-0.020979411328118175,0.18335128762960884
hsa-miR-27b-3p + hsa-miR-873-5p,1.699429581809238,0.7650505830744228,0.9811259680422009,False,False,-0.04842507495451609,-0.3195648998284908
hsa-miR-18a-5p + hsa-miR-452-5p,4.004676288376852,2.0016856293934913,2.078421692646865,False,False,-0.27522210082002796,-0.3265781865046411
hsa-miR-452-5p + hsa-miR-92a-3p,2.124065423964494,1.086828203701152,0.9007129819411613,False,False,-0.04368814453791681,-0.23862282864315573
hsa-miR-128-3p + hsa-miR-3937,1.4067585668623683,0.4923747491301221,0.775627470199535,False,False,-0.22085704445216736,-0.07247491927090696
hsa-miR-204-5p + hsa-miR-3937,3.056682684146221,1.611966793059187,1.8410792029245038,False,False,-0.5139383797778863,-0.26435152404527995
hsa-miR-19b-3p + hsa-miR-3937,6.8864644640543204,2.7837634881094324,2.013188348957502,False,False,-0.6529085141186185,-0.37572120439881085
hsa-miR-17-5p + hsa-miR-3714,1.4929796278970269,0.5781944796503156,0.3364451613918893,False,False,-0.1849061058739324,0.16686250568412017
hsa-miR-34b-5p + hsa-miR-3714,0.7469624164193909,-0.4208924395695405,0.29932554724929566,False,False,0.1896978646737847,0.18411372201246717
hsa-miR-200c-3p + hsa-miR-2110,0.6570245524424059,-0.6059808110596152,0.6435030781812389,False,False,0.13008160024443213,0.12318532554382729
