,combo_cbca,combo_nl,nl distance from HSA,combo_nbp,one,one_nl,two,two_nl,nl_pvalue_over_HSA,cbca_pvalue_rel_ATRA,nl_pvalue_rel_ATRA
hsa-miR-137 + hsa-miR-449a,0.08203766348082461,1.151000267897136,0.8499428477763054,0.881835190436755,hsa-miR-137,0.287039685287983,hsa-miR-449a,0.30105742012083075,0.03140818213781877,0.020681688757878274,0.46017407050284487
hsa-miR-137 + hsa-miR-449b-5p,0.053665999502377416,1.0435776055900345,0.7565379203020515,0.8064968833155174,hsa-miR-137,0.287039685287983,hsa-miR-449b-5p,0.07853163889041033,0.0407545413438898,1.4167597603981225e-10,0.7765302055008645
hsa-miR-124-3p + hsa-miR-34b-5p,0.021948260032977767,1.2937022856593194,0.5320249036762923,0.9025329210211819,hsa-miR-124-3p,0.7616773819830271,hsa-miR-34b-5p,0.5786935454369045,0.018792953786962566,1.888171430825512e-43,0.06378127048095171
hsa-miR-124-3p + hsa-miR-363-3p,0.08921134837074214,1.269313073447643,0.5076356914646158,0.9255638048500074,hsa-miR-124-3p,0.7616773819830271,hsa-miR-363-3p,0.1773453176975279,0.026701780936261247,0.0008794983759758283,0.11340897368726606
hsa-miR-137 + hsa-miR-450b-3p,0.16167433840274678,1.055723085347432,0.5028261525636764,0.8740986367166652,hsa-miR-137,0.287039685287983,hsa-miR-450b-3p,0.5528969327837556,0.0021944412820438367,5.958325330817843e-05,0.3139268148094901
hsa-miR-128-3p + hsa-miR-137,0.08797917591286276,0.785288580639123,0.49824889535114,0.6090862003566637,hsa-miR-128-3p,0.11686010737704063,hsa-miR-137,0.287039685287983,0.008421204703436453,0.0036092278940362964,0.04645111455492641
hsa-miR-106b-5p + hsa-miR-2110,0.16470208160775504,0.5770290625226685,0.4570319755155157,0.5394525006078873,hsa-miR-106b-5p,0.05273171686645812,hsa-miR-2110,0.1199970870071528,0.034472824488680325,1.2421797597492491e-05,0.03934101440624051
hsa-miR-19b-3p + hsa-miR-34b-5p,0.09514370624400069,1.0111547160817098,0.43246117064480527,0.730423428211089,hsa-miR-19b-3p,0.0473308199013096,hsa-miR-34b-5p,0.5786935454369045,0.048104672528164256,0.005790156234209442,0.33304122313991896
hsa-miR-137 + hsa-miR-27b-3p,0.12162007987542071,0.7136791941267121,0.4266395088387291,0.5838356137583484,hsa-miR-137,0.287039685287983,hsa-miR-27b-3p,0.10149297666643003,0.022630725211862508,0.012609819460329404,0.049815573778017784
hsa-miR-124-3p + hsa-miR-27a-3p,0.04130077966879304,1.1787026678381127,0.4170252858550856,0.7435393342726354,hsa-miR-124-3p,0.7616773819830271,hsa-miR-27a-3p,0.08881129997904301,0.03833053322776223,5.0588465475434365e-26,0.09320302915442442
