PairIndex,Response,Drug1,Drug2,Conc1,Conc2,ConcUnit
1,73.22084615304865,hsa-miR-124-3p,hsa-miR-363-3p,5.0,5.0,nM
1,100.0,hsa-miR-124-3p,hsa-miR-363-3p,5.0,2.5,nM
1,99.63776556287048,hsa-miR-124-3p,hsa-miR-363-3p,5.0,1.0,nM
1,54.15132338586564,hsa-miR-124-3p,hsa-miR-363-3p,5.0,0.5,nM
1,62.32024924167841,hsa-miR-124-3p,hsa-miR-363-3p,5.0,0.0,nM
1,48.066180104375704,hsa-miR-124-3p,hsa-miR-363-3p,2.5,5.0,nM
1,80.504525175352,hsa-miR-124-3p,hsa-miR-363-3p,2.5,2.5,nM
1,65.85248721054343,hsa-miR-124-3p,hsa-miR-363-3p,2.5,1.0,nM
1,56.80280309294078,hsa-miR-124-3p,hsa-miR-363-3p,2.5,0.5,nM
1,46.29050113211659,hsa-miR-124-3p,hsa-miR-363-3p,2.5,0.0,nM
1,34.68444813236811,hsa-miR-124-3p,hsa-miR-363-3p,1.0,5.0,nM
1,38.585639997220426,hsa-miR-124-3p,hsa-miR-363-3p,1.0,2.5,nM
1,36.6975725485921,hsa-miR-124-3p,hsa-miR-363-3p,1.0,1.0,nM
1,65.26756602123741,hsa-miR-124-3p,hsa-miR-363-3p,1.0,0.5,nM
1,36.04620709911498,hsa-miR-124-3p,hsa-miR-363-3p,1.0,0.0,nM
1,13.977192930653628,hsa-miR-124-3p,hsa-miR-363-3p,0.5,5.0,nM
1,23.23117405510415,hsa-miR-124-3p,hsa-miR-363-3p,0.5,2.5,nM
1,28.29927397854888,hsa-miR-124-3p,hsa-miR-363-3p,0.5,1.0,nM
1,20.23626501659624,hsa-miR-124-3p,hsa-miR-363-3p,0.5,0.5,nM
1,6.248187299522675,hsa-miR-124-3p,hsa-miR-363-3p,0.5,0.0,nM
1,5.967041925219422,hsa-miR-124-3p,hsa-miR-363-3p,0.0,5.0,nM
1,9.546202216955818,hsa-miR-124-3p,hsa-miR-363-3p,0.0,2.5,nM
1,3.6073729748020793,hsa-miR-124-3p,hsa-miR-363-3p,0.0,1.0,nM
1,1.6346691518168774,hsa-miR-124-3p,hsa-miR-363-3p,0.0,0.5,nM
1,1.1303312235985516,hsa-miR-124-3p,hsa-miR-363-3p,0.0,0.0,nM
1,56.9174090577267,hsa-miR-124-3p,hsa-miR-363-3p,5.0,5.0,nM
1,86.70464958583128,hsa-miR-124-3p,hsa-miR-363-3p,5.0,2.5,nM
1,62.33851169915234,hsa-miR-124-3p,hsa-miR-363-3p,5.0,1.0,nM
1,49.62370109234249,hsa-miR-124-3p,hsa-miR-363-3p,5.0,0.5,nM
1,41.713960106211,hsa-miR-124-3p,hsa-miR-363-3p,5.0,0.0,nM
1,74.15018147982147,hsa-miR-124-3p,hsa-miR-363-3p,2.5,5.0,nM
1,79.3487514543684,hsa-miR-124-3p,hsa-miR-363-3p,2.5,2.5,nM
