PairIndex,Response,Drug1,Drug2,Conc1,Conc2,ConcUnit
1,189.81396081283657,hsa-miR-124-3p,hsa-miR-363-3p,5.0,5.0,nM
1,259.23486382017643,hsa-miR-124-3p,hsa-miR-363-3p,5.0,2.5,nM
1,258.29582587037396,hsa-miR-124-3p,hsa-miR-363-3p,5.0,1.0,nM
1,140.37910943617214,hsa-miR-124-3p,hsa-miR-363-3p,5.0,0.5,nM
1,161.55581325405956,hsa-miR-124-3p,hsa-miR-363-3p,5.0,0.0,nM
1,124.60429653713909,hsa-miR-124-3p,hsa-miR-363-3p,2.5,5.0,nM
1,208.6957962074034,hsa-miR-124-3p,hsa-miR-363-3p,2.5,2.5,nM
1,170.71260554245137,hsa-miR-124-3p,hsa-miR-363-3p,2.5,1.0,nM
1,147.252669244028,hsa-miR-124-3p,hsa-miR-363-3p,2.5,0.5,nM
1,120.00111757151967,hsa-miR-124-3p,hsa-miR-363-3p,2.5,0.0,nM
1,89.9141818827242,hsa-miR-124-3p,hsa-miR-363-3p,1.0,5.0,nM
1,100.0274313009379,hsa-miR-124-3p,hsa-miR-363-3p,1.0,2.5,nM
1,95.13290222165317,hsa-miR-124-3p,hsa-miR-363-3p,1.0,1.0,nM
1,169.19628589389853,hsa-miR-124-3p,hsa-miR-363-3p,1.0,0.5,nM
1,93.44433588572949,hsa-miR-124-3p,hsa-miR-363-3p,1.0,0.0,nM
1,36.23375705966326,hsa-miR-124-3p,hsa-miR-363-3p,0.5,5.0,nM
1,60.22330242557741,hsa-miR-124-3p,hsa-miR-363-3p,0.5,2.5,nM
1,73.36158436038981,hsa-miR-124-3p,hsa-miR-363-3p,0.5,1.0,nM
1,52.459454058063265,hsa-miR-124-3p,hsa-miR-363-3p,0.5,0.5,nM
1,16.197479837147164,hsa-miR-124-3p,hsa-miR-363-3p,0.5,0.0,nM
1,15.468653008935403,hsa-miR-124-3p,hsa-miR-363-3p,0.0,5.0,nM
1,24.74708431712408,hsa-miR-124-3p,hsa-miR-363-3p,0.0,2.5,nM
1,9.351568418714017,hsa-miR-124-3p,hsa-miR-363-3p,0.0,1.0,nM
1,4.237632349622915,hsa-miR-124-3p,hsa-miR-363-3p,0.0,0.5,nM
1,2.930212608212639,hsa-miR-124-3p,hsa-miR-363-3p,0.0,0.0,nM
1,147.54976786077057,hsa-miR-124-3p,hsa-miR-363-3p,5.0,5.0,nM
1,224.76868027959088,hsa-miR-124-3p,hsa-miR-363-3p,5.0,2.5,nM
