PairIndex,Response,Drug1,Drug2,Conc1,Conc2,ConcUnit
1,73.22084615304867,hsa-miR-124-3p,hsa-miR-363-3p,5.0,5.0,nM
1,100.0,hsa-miR-124-3p,hsa-miR-363-3p,5.0,2.5,nM
1,99.6377655628705,hsa-miR-124-3p,hsa-miR-363-3p,5.0,1.0,nM
1,54.151323385865645,hsa-miR-124-3p,hsa-miR-363-3p,5.0,0.5,nM
1,62.32024924167842,hsa-miR-124-3p,hsa-miR-363-3p,5.0,0.0,nM
1,48.06618010437571,hsa-miR-124-3p,hsa-miR-363-3p,2.5,5.0,nM
1,80.504525175352,hsa-miR-124-3p,hsa-miR-363-3p,2.5,2.5,nM
1,65.85248721054344,hsa-miR-124-3p,hsa-miR-363-3p,2.5,1.0,nM
1,56.802803092940785,hsa-miR-124-3p,hsa-miR-363-3p,2.5,0.5,nM
1,46.2905011321166,hsa-miR-124-3p,hsa-miR-363-3p,2.5,0.0,nM
1,34.68444813236812,hsa-miR-124-3p,hsa-miR-363-3p,1.0,5.0,nM
1,38.58563999722043,hsa-miR-124-3p,hsa-miR-363-3p,1.0,2.5,nM
1,36.6975725485921,hsa-miR-124-3p,hsa-miR-363-3p,1.0,1.0,nM
1,65.26756602123741,hsa-miR-124-3p,hsa-miR-363-3p,1.0,0.5,nM
1,36.04620709911499,hsa-miR-124-3p,hsa-miR-363-3p,1.0,0.0,nM
1,13.97719293065363,hsa-miR-124-3p,hsa-miR-363-3p,0.5,5.0,nM
1,23.231174055104155,hsa-miR-124-3p,hsa-miR-363-3p,0.5,2.5,nM
1,28.299273978548882,hsa-miR-124-3p,hsa-miR-363-3p,0.5,1.0,nM
1,20.236265016596246,hsa-miR-124-3p,hsa-miR-363-3p,0.5,0.5,nM
1,6.248187299522675,hsa-miR-124-3p,hsa-miR-363-3p,0.5,0.0,nM
1,5.967041925219423,hsa-miR-124-3p,hsa-miR-363-3p,0.0,5.0,nM
1,9.546202216955818,hsa-miR-124-3p,hsa-miR-363-3p,0.0,2.5,nM
1,3.6073729748020797,hsa-miR-124-3p,hsa-miR-363-3p,0.0,1.0,nM
1,1.6346691518168777,hsa-miR-124-3p,hsa-miR-363-3p,0.0,0.5,nM
1,1.1303312235985519,hsa-miR-124-3p,hsa-miR-363-3p,0.0,0.0,nM
1,56.917409057726694,hsa-miR-124-3p,hsa-miR-363-3p,5.0,5.0,nM
1,86.70464958583129,hsa-miR-124-3p,hsa-miR-363-3p,5.0,2.5,nM
1,62.33851169915235,hsa-miR-124-3p,hsa-miR-363-3p,5.0,1.0,nM
1,49.6237010923425,hsa-miR-124-3p,hsa-miR-363-3p,5.0,0.5,nM
1,41.713960106211,hsa-miR-124-3p,hsa-miR-363-3p,5.0,0.0,nM
1,74.15018147982148,hsa-miR-124-3p,hsa-miR-363-3p,2.5,5.0,nM
1,79.34875145436841,hsa-miR-124-3p,hsa-miR-363-3p,2.5,2.5,nM
1,63.484390464270554,hsa-miR-124-3p,hsa-miR-363-3p,2.5,1.0,nM
1,64.37166720409498,hsa-miR-124-3p,hsa-miR-363-3p,2.5,0.5,nM
1,51.19022602119152,hsa-miR-124-3p,hsa-miR-363-3p,2.5,0.0,nM
1,34.63103412890531,hsa-miR-124-3p,hsa-miR-363-3p,1.0,5.0,nM
1,51.450750763027884,hsa-miR-124-3p,hsa-miR-363-3p,1.0,2.5,nM
1,58.745718208237875,hsa-miR-124-3p,hsa-miR-363-3p,1.0,1.0,nM
1,55.05520114169166,hsa-miR-124-3p,hsa-miR-363-3p,1.0,0.5,nM
1,45.67163428176128,hsa-miR-124-3p,hsa-miR-363-3p,1.0,0.0,nM
1,10.065610357238556,hsa-miR-124-3p,hsa-miR-363-3p,0.5,5.0,nM
1,21.98984279765708,hsa-miR-124-3p,hsa-miR-363-3p,0.5,2.5,nM
1,10.148836516152183,hsa-miR-124-3p,hsa-miR-363-3p,0.5,1.0,nM
1,33.27598122229469,hsa-miR-124-3p,hsa-miR-363-3p,0.5,0.5,nM
1,24.301463932592778,hsa-miR-124-3p,hsa-miR-363-3p,0.5,0.0,nM
1,6.805487024351456,hsa-miR-124-3p,hsa-miR-363-3p,0.0,5.0,nM
1,3.8080020816253803,hsa-miR-124-3p,hsa-miR-363-3p,0.0,2.5,nM
1,1.9660778202102265,hsa-miR-124-3p,hsa-miR-363-3p,0.0,1.0,nM
1,0.2137695680163405,hsa-miR-124-3p,hsa-miR-363-3p,0.0,0.5,nM
1,0.0,hsa-miR-124-3p,hsa-miR-363-3p,0.0,0.0,nM
1,68.56157472092683,hsa-miR-124-3p,hsa-miR-363-3p,5.0,5.0,nM
1,60.342256273360995,hsa-miR-124-3p,hsa-miR-363-3p,5.0,2.5,nM
1,76.36318132478152,hsa-miR-124-3p,hsa-miR-363-3p,5.0,1.0,nM
1,74.20123060893052,hsa-miR-124-3p,hsa-miR-363-3p,5.0,0.5,nM
1,35.8771420305853,hsa-miR-124-3p,hsa-miR-363-3p,5.0,0.0,nM
1,68.97968182692371,hsa-miR-124-3p,hsa-miR-363-3p,2.5,5.0,nM
1,60.77273039934939,hsa-miR-124-3p,hsa-miR-363-3p,2.5,2.5,nM
1,92.73990272762632,hsa-miR-124-3p,hsa-miR-363-3p,2.5,1.0,nM
1,61.89447136759361,hsa-miR-124-3p,hsa-miR-363-3p,2.5,0.5,nM
1,37.108826208515694,hsa-miR-124-3p,hsa-miR-363-3p,2.5,0.0,nM
1,27.618103072981718,hsa-miR-124-3p,hsa-miR-363-3p,1.0,5.0,nM
1,53.141843606135936,hsa-miR-124-3p,hsa-miR-363-3p,1.0,2.5,nM
1,63.66789265527137,hsa-miR-124-3p,hsa-miR-363-3p,1.0,1.0,nM
1,35.758054193440586,hsa-miR-124-3p,hsa-miR-363-3p,1.0,0.5,nM
1,36.60459881975016,hsa-miR-124-3p,hsa-miR-363-3p,1.0,0.0,nM
1,16.066897739901975,hsa-miR-124-3p,hsa-miR-363-3p,0.5,5.0,nM
1,26.946786927115262,hsa-miR-124-3p,hsa-miR-363-3p,0.5,2.5,nM
1,29.84261241975401,hsa-miR-124-3p,hsa-miR-363-3p,0.5,1.0,nM
1,30.29879199303789,hsa-miR-124-3p,hsa-miR-363-3p,0.5,0.5,nM
1,34.221796976575135,hsa-miR-124-3p,hsa-miR-363-3p,0.5,0.0,nM
1,9.234420665826354,hsa-miR-124-3p,hsa-miR-363-3p,0.0,5.0,nM
1,8.34395503027282,hsa-miR-124-3p,hsa-miR-363-3p,0.0,2.5,nM
1,1.284533090311788,hsa-miR-124-3p,hsa-miR-363-3p,0.0,1.0,nM
1,2.6624857519251157,hsa-miR-124-3p,hsa-miR-363-3p,0.0,0.5,nM
1,0.0,hsa-miR-124-3p,hsa-miR-363-3p,0.0,0.0,nM
1,82.49470428092,hsa-miR-124-3p,hsa-miR-363-3p,5.0,5.0,nM
1,90.99505421365592,hsa-miR-124-3p,hsa-miR-363-3p,5.0,2.5,nM
1,60.3653288718717,hsa-miR-124-3p,hsa-miR-363-3p,5.0,1.0,nM
1,51.972671163601426,hsa-miR-124-3p,hsa-miR-363-3p,5.0,0.5,nM
1,48.724626778192494,hsa-miR-124-3p,hsa-miR-363-3p,5.0,0.0,nM
1,67.27710627944651,hsa-miR-124-3p,hsa-miR-363-3p,2.5,5.0,nM
1,72.23851888254192,hsa-miR-124-3p,hsa-miR-363-3p,2.5,2.5,nM
1,82.11940609027833,hsa-miR-124-3p,hsa-miR-363-3p,2.5,1.0,nM
1,71.33028654221187,hsa-miR-124-3p,hsa-miR-363-3p,2.5,0.5,nM
1,59.52437821180965,hsa-miR-124-3p,hsa-miR-363-3p,2.5,0.0,nM
1,26.25065634893648,hsa-miR-124-3p,hsa-miR-363-3p,1.0,5.0,nM
1,48.11182954869974,hsa-miR-124-3p,hsa-miR-363-3p,1.0,2.5,nM
1,68.1643696205494,hsa-miR-124-3p,hsa-miR-363-3p,1.0,1.0,nM
1,66.83220173034775,hsa-miR-124-3p,hsa-miR-363-3p,1.0,0.5,nM
1,26.931994738523027,hsa-miR-124-3p,hsa-miR-363-3p,1.0,0.0,nM
1,17.630508446813668,hsa-miR-124-3p,hsa-miR-363-3p,0.5,5.0,nM
1,24.33843770471258,hsa-miR-124-3p,hsa-miR-363-3p,0.5,2.5,nM
1,32.43143300549621,hsa-miR-124-3p,hsa-miR-363-3p,0.5,1.0,nM
1,32.6705666883765,hsa-miR-124-3p,hsa-miR-363-3p,0.5,0.5,nM
1,13.563902665054288,hsa-miR-124-3p,hsa-miR-363-3p,0.5,0.0,nM
1,5.414766720972242,hsa-miR-124-3p,hsa-miR-363-3p,0.0,5.0,nM
1,8.355712408433766,hsa-miR-124-3p,hsa-miR-363-3p,0.0,2.5,nM
1,1.8771947210577942,hsa-miR-124-3p,hsa-miR-363-3p,0.0,1.0,nM
1,0.23349650575578101,hsa-miR-124-3p,hsa-miR-363-3p,0.0,0.5,nM
1,1.563498492618703,hsa-miR-124-3p,hsa-miR-363-3p,0.0,0.0,nM
1,71.47204501622075,hsa-miR-124-3p,hsa-miR-363-3p,5.0,5.0,nM
1,79.34111418308439,hsa-miR-124-3p,hsa-miR-363-3p,5.0,2.5,nM
1,61.73105386019765,hsa-miR-124-3p,hsa-miR-363-3p,5.0,1.0,nM
1,68.24569986036354,hsa-miR-124-3p,hsa-miR-363-3p,5.0,0.5,nM
1,32.474583588250994,hsa-miR-124-3p,hsa-miR-363-3p,5.0,0.0,nM
1,66.0582915735658,hsa-miR-124-3p,hsa-miR-363-3p,2.5,5.0,nM
1,81.94046616396562,hsa-miR-124-3p,hsa-miR-363-3p,2.5,2.5,nM
1,56.13659855934602,hsa-miR-124-3p,hsa-miR-363-3p,2.5,1.0,nM
1,40.60601982116425,hsa-miR-124-3p,hsa-miR-363-3p,2.5,0.5,nM
1,43.33448188291028,hsa-miR-124-3p,hsa-miR-363-3p,2.5,0.0,nM
1,19.058457098022153,hsa-miR-124-3p,hsa-miR-363-3p,1.0,5.0,nM
1,51.04444793071736,hsa-miR-124-3p,hsa-miR-363-3p,1.0,2.5,nM
1,67.16536094171174,hsa-miR-124-3p,hsa-miR-363-3p,1.0,1.0,nM
1,32.51061944986223,hsa-miR-124-3p,hsa-miR-363-3p,1.0,0.5,nM
1,28.903308444147324,hsa-miR-124-3p,hsa-miR-363-3p,1.0,0.0,nM
1,15.156990559378034,hsa-miR-124-3p,hsa-miR-363-3p,0.5,5.0,nM
1,22.32677374913765,hsa-miR-124-3p,hsa-miR-363-3p,0.5,2.5,nM
1,27.79324446173475,hsa-miR-124-3p,hsa-miR-363-3p,0.5,1.0,nM
1,33.90385871289302,hsa-miR-124-3p,hsa-miR-363-3p,0.5,0.5,nM
1,13.399754927333792,hsa-miR-124-3p,hsa-miR-363-3p,0.5,0.0,nM
1,6.430959260198969,hsa-miR-124-3p,hsa-miR-363-3p,0.0,5.0,nM
1,6.823568599084442,hsa-miR-124-3p,hsa-miR-363-3p,0.0,2.5,nM
1,1.9646749740638436,hsa-miR-124-3p,hsa-miR-363-3p,0.0,1.0,nM
1,0.26447368004546334,hsa-miR-124-3p,hsa-miR-363-3p,0.0,0.5,nM
1,0.0,hsa-miR-124-3p,hsa-miR-363-3p,0.0,0.0,nM
1,58.59810449291123,hsa-miR-124-3p,hsa-miR-363-3p,5.0,5.0,nM
1,63.762923087871386,hsa-miR-124-3p,hsa-miR-363-3p,5.0,2.5,nM
1,62.30857895520755,hsa-miR-124-3p,hsa-miR-363-3p,5.0,1.0,nM
1,78.04559179632457,hsa-miR-124-3p,hsa-miR-363-3p,5.0,0.5,nM
1,26.047692514882918,hsa-miR-124-3p,hsa-miR-363-3p,5.0,0.0,nM
1,63.84403224877996,hsa-miR-124-3p,hsa-miR-363-3p,2.5,5.0,nM
1,81.63350145323372,hsa-miR-124-3p,hsa-miR-363-3p,2.5,2.5,nM
1,60.123173777281664,hsa-miR-124-3p,hsa-miR-363-3p,2.5,1.0,nM
1,71.264163851358,hsa-miR-124-3p,hsa-miR-363-3p,2.5,0.5,nM
1,39.52730884718086,hsa-miR-124-3p,hsa-miR-363-3p,2.5,0.0,nM
1,32.05681145029286,hsa-miR-124-3p,hsa-miR-363-3p,1.0,5.0,nM
1,42.395633463836326,hsa-miR-124-3p,hsa-miR-363-3p,1.0,2.5,nM
1,49.29840693052891,hsa-miR-124-3p,hsa-miR-363-3p,1.0,1.0,nM
1,51.49238059088663,hsa-miR-124-3p,hsa-miR-363-3p,1.0,0.5,nM
1,27.175154737229384,hsa-miR-124-3p,hsa-miR-363-3p,1.0,0.0,nM
1,23.341103866068792,hsa-miR-124-3p,hsa-miR-363-3p,0.5,5.0,nM
1,10.08666644815585,hsa-miR-124-3p,hsa-miR-363-3p,0.5,2.5,nM
1,25.64797515421468,hsa-miR-124-3p,hsa-miR-363-3p,0.5,1.0,nM
1,15.272413846178555,hsa-miR-124-3p,hsa-miR-363-3p,0.5,0.5,nM
1,12.89980173074301,hsa-miR-124-3p,hsa-miR-363-3p,0.5,0.0,nM
1,4.488482283096597,hsa-miR-124-3p,hsa-miR-363-3p,0.0,5.0,nM
1,4.35087004347165,hsa-miR-124-3p,hsa-miR-363-3p,0.0,2.5,nM
1,0.17733040488642005,hsa-miR-124-3p,hsa-miR-363-3p,0.0,1.0,nM
1,3.5745213193674212,hsa-miR-124-3p,hsa-miR-363-3p,0.0,0.5,nM
1,0.0,hsa-miR-124-3p,hsa-miR-363-3p,0.0,0.0,nM
2,50.95771543531669,hsa-miR-124-3p,hsa-miR-34b-5p,5.0,5.0,nM
2,69.5201853510134,hsa-miR-124-3p,hsa-miR-34b-5p,5.0,2.5,nM
2,53.792461209268666,hsa-miR-124-3p,hsa-miR-34b-5p,5.0,1.0,nM
2,76.59351917848673,hsa-miR-124-3p,hsa-miR-34b-5p,5.0,0.5,nM
2,53.59865613873602,hsa-miR-124-3p,hsa-miR-34b-5p,5.0,0.0,nM
2,42.41747667508702,hsa-miR-124-3p,hsa-miR-34b-5p,2.5,5.0,nM
2,76.6436993570663,hsa-miR-124-3p,hsa-miR-34b-5p,2.5,2.5,nM
2,63.382641695343814,hsa-miR-124-3p,hsa-miR-34b-5p,2.5,1.0,nM
2,40.24371276606528,hsa-miR-124-3p,hsa-miR-34b-5p,2.5,0.5,nM
2,34.72298440003821,hsa-miR-124-3p,hsa-miR-34b-5p,2.5,0.0,nM
2,15.61731238077238,hsa-miR-124-3p,hsa-miR-34b-5p,1.0,5.0,nM
2,60.62658726135608,hsa-miR-124-3p,hsa-miR-34b-5p,1.0,2.5,nM
2,55.22627796035709,hsa-miR-124-3p,hsa-miR-34b-5p,1.0,1.0,nM
2,74.6585420926205,hsa-miR-124-3p,hsa-miR-34b-5p,1.0,0.5,nM
2,26.559317477942624,hsa-miR-124-3p,hsa-miR-34b-5p,1.0,0.0,nM
2,22.16019294365527,hsa-miR-124-3p,hsa-miR-34b-5p,0.5,5.0,nM
2,46.07654714293808,hsa-miR-124-3p,hsa-miR-34b-5p,0.5,2.5,nM
2,51.45228753359926,hsa-miR-124-3p,hsa-miR-34b-5p,0.5,1.0,nM
2,42.10479603103787,hsa-miR-124-3p,hsa-miR-34b-5p,0.5,0.5,nM
2,11.918892902048485,hsa-miR-124-3p,hsa-miR-34b-5p,0.5,0.0,nM
2,16.739377255431148,hsa-miR-124-3p,hsa-miR-34b-5p,0.0,5.0,nM
2,16.653282501636518,hsa-miR-124-3p,hsa-miR-34b-5p,0.0,2.5,nM
2,18.188775920826824,hsa-miR-124-3p,hsa-miR-34b-5p,0.0,1.0,nM
2,15.820458581751666,hsa-miR-124-3p,hsa-miR-34b-5p,0.0,0.5,nM
2,2.46525528778309,hsa-miR-124-3p,hsa-miR-34b-5p,0.0,0.0,nM
2,23.856597023371943,hsa-miR-124-3p,hsa-miR-34b-5p,5.0,5.0,nM
2,32.907591156520624,hsa-miR-124-3p,hsa-miR-34b-5p,5.0,2.5,nM
2,37.726197929319945,hsa-miR-124-3p,hsa-miR-34b-5p,5.0,1.0,nM
2,28.97351192835297,hsa-miR-124-3p,hsa-miR-34b-5p,5.0,0.5,nM
2,50.03220852514195,hsa-miR-124-3p,hsa-miR-34b-5p,5.0,0.0,nM
2,60.813610323731844,hsa-miR-124-3p,hsa-miR-34b-5p,2.5,5.0,nM
2,36.073111838648714,hsa-miR-124-3p,hsa-miR-34b-5p,2.5,2.5,nM
2,60.63578807439257,hsa-miR-124-3p,hsa-miR-34b-5p,2.5,1.0,nM
2,57.8693902427429,hsa-miR-124-3p,hsa-miR-34b-5p,2.5,0.5,nM
2,49.72528757669007,hsa-miR-124-3p,hsa-miR-34b-5p,2.5,0.0,nM
2,25.646492588932187,hsa-miR-124-3p,hsa-miR-34b-5p,1.0,5.0,nM
2,44.22169129826325,hsa-miR-124-3p,hsa-miR-34b-5p,1.0,2.5,nM
2,44.36677281856926,hsa-miR-124-3p,hsa-miR-34b-5p,1.0,1.0,nM
2,52.56095543648013,hsa-miR-124-3p,hsa-miR-34b-5p,1.0,0.5,nM
2,43.25563933833874,hsa-miR-124-3p,hsa-miR-34b-5p,1.0,0.0,nM
2,29.70548772103392,hsa-miR-124-3p,hsa-miR-34b-5p,0.5,5.0,nM
2,31.779866812986103,hsa-miR-124-3p,hsa-miR-34b-5p,0.5,2.5,nM
2,33.22849039173528,hsa-miR-124-3p,hsa-miR-34b-5p,0.5,1.0,nM
