,dual_positive,nl_synergy,combo_nl_mean,hsa_nl_mean,nl_ci,nl_p,jaccard,overlap_count,size_A,size_B,size_union,size_ratio,best_single_nl,expr_corr,expr_corr_p
hsa-miR-3937 + hsa-miR-429,False,False,0.4087581394886455,0.7638254351508617,1.8686488692467476,0.018555401950921094,,,0.0,1196.0,,,0.7638254351508617,-0.034061172452745904,0.741812640841082
hsa-miR-25-3p + hsa-miR-3937,False,False,0.45606372220719843,0.7638254351508617,1.6748217364323514,0.0754616940573321,,,1041.0,0.0,,,0.7638254351508617,-0.04952013060188856,0.6318429420141639
hsa-miR-135b-5p + hsa-miR-3714,False,False,0.16290603008958313,0.5599847002221666,3.437470668914019,0.1578735485762107,,,847.0,0.0,,,0.5599847002221666,-0.00939562995883124,0.9276085426246872
hsa-miR-103a-3p + hsa-miR-3714,False,False,0.5527970464366002,0.5599847002221666,1.013002337533999,0.9836202360912933,,,836.0,0.0,,,0.5599847002221666,,
hsa-miR-2110 + hsa-miR-452-5p,False,False,0.3490814296548592,0.13002244902766194,0.3724702547374594,0.09470286177433639,,,0.0,342.0,,,0.13002244902766194,-0.01722167067116619,0.867732651819534
hsa-miR-200a-3p + hsa-miR-2110,False,False,0.28985712512324086,0.18819781289058604,0.6492778564976399,0.08248550858038356,,,905.0,0.0,,,0.18819781289058604,-0.04482954158417571,0.6645045931689751
hsa-miR-18b-5p + hsa-miR-2110,False,False,0.30872246433130823,0.3314835470254438,1.073726681158224,0.7875167850154803,,,321.0,0.0,,,0.3314835470254438,-0.120968362967191,0.24038137044239796
hsa-miR-128-3p + hsa-miR-429,False,False,0.23649989161807894,0.22032459990869882,0.9316055005407723,0.7948546262269545,0.1039671682626539,228.0,1225.0,1196.0,2193.0,0.976326530612245,0.22032459990869882,-0.074511558388084,0.47060096297626125
hsa-miR-128-3p + hsa-miR-25-3p,False,False,0.07511429083555396,0.2963380124324821,3.9451615549596055,0.0013371625009314374,0.1037506088650755,213.0,1225.0,1041.0,2053.0,0.8497959183673469,0.2963380124324821,-0.2422508225497405,0.01740646717834555
hsa-miR-17-5p + hsa-miR-873-5p,False,False,0.06785616707610187,0.08495251408910463,1.251949789528031,0.44644880786209046,,,1382.0,0.0,,,0.08495251408910463,0.09536160840993727,0.35537276885744234
