module,module_display,category,n_module_genes,n_targets_A,n_targets_B,n_union,n_overlap,coverage_A,coverage_B,coverage_union,incremental_coverage,complementarity,mirA,mirB
MYCN transcriptional targets,MYCN targets (Wei et al.),mycn,570,96,76,156,16,0.16842105263157894,0.13333333333333333,0.2736842105263158,0.10526315789473686,0.8974358974358975,hsa-miR-124-3p,hsa-miR-27a-3p
Adrenergic identity (ADRN),Adrenergic (ADRN),nb_differentiation,293,59,49,94,14,0.20136518771331058,0.16723549488054607,0.32081911262798635,0.11945392491467577,0.851063829787234,hsa-miR-124-3p,hsa-miR-27a-3p
Mesenchymal identity (MES),Mesenchymal (MES),nb_undifferentiated,429,125,68,167,26,0.2913752913752914,0.1585081585081585,0.38927738927738925,0.09790209790209786,0.844311377245509,hsa-miR-124-3p,hsa-miR-27a-3p
Retinoid response,Retinoid response (GO),nb_differentiation,89,18,15,26,7,0.20224719101123595,0.16853932584269662,0.29213483146067415,0.0898876404494382,0.7307692307692308,hsa-miR-124-3p,hsa-miR-27a-3p
MYCN transcriptional targets,MYCN targets (Wei et al.),mycn,570,96,40,124,12,0.16842105263157894,0.07017543859649122,0.21754385964912282,0.049122807017543874,0.9032258064516129,hsa-miR-124-3p,hsa-miR-363-3p
Adrenergic identity (ADRN),Adrenergic (ADRN),nb_differentiation,293,59,35,87,7,0.20136518771331058,0.11945392491467577,0.29692832764505117,0.09556313993174059,0.9195402298850575,hsa-miR-124-3p,hsa-miR-363-3p
Mesenchymal identity (MES),Mesenchymal (MES),nb_undifferentiated,429,125,64,159,30,0.2913752913752914,0.14918414918414918,0.3706293706293706,0.07925407925407923,0.8113207547169812,hsa-miR-124-3p,hsa-miR-363-3p
Retinoid response,Retinoid response (GO),nb_differentiation,89,18,9,23,4,0.20224719101123595,0.10112359550561797,0.25842696629213485,0.0561797752808989,0.8260869565217391,hsa-miR-124-3p,hsa-miR-363-3p
MYCN transcriptional targets,MYCN targets (Wei et al.),mycn,570,96,31,116,11,0.16842105263157894,0.054385964912280704,0.20350877192982456,0.03508771929824561,0.9051724137931034,hsa-miR-124-3p,hsa-miR-34b-5p
Adrenergic identity (ADRN),Adrenergic (ADRN),nb_differentiation,293,59,31,80,10,0.20136518771331058,0.10580204778156997,0.27303754266211605,0.07167235494880547,0.875,hsa-miR-124-3p,hsa-miR-34b-5p
