category,n,mean_inc_coverage,median_inc_coverage,comparison,mannwhitney_U,mannwhitney_p_onesided_greater
nb_differentiation,62.0,0.04571263516112951,0.0449438202247191,,,
mycn,31.0,0.03961516694963214,0.0456140350877193,,,
nb_undifferentiated,31.0,0.048800661703887506,0.0536130536130536,,,
,,,,nb_differentiation_vs_mycn,1050.0,0.23150111297093157
,,,,nb_differentiation_vs_nb_undifferentiated,914.0,0.6531827088641611
,31.0,0.03961516694963214,0.0456140350877193,module:MYCN targets (Wei et al.),,
,31.0,0.059892106132335136,0.07849829351535836,module:Adrenergic (ADRN),,
,31.0,0.048800661703887506,0.0536130536130536,module:Mesenchymal (MES),,
,31.0,0.031533164189923885,0.033707865168539325,module:Retinoid response (GO),,
,,,,ADRN_vs_MYCN_targets,641.0,0.010943779251040753
,,,,ADRN_vs_Retinoid,676.0,0.002593257529087215
