label,mirA_ids,mirB_ids,mirA_targets_total,mirB_targets_total,union_targets_total,Inc_on,Inc_ctrl,Comp_on,Comp_ctrl,NBS,pair_slug,mirA_raw,mirB_raw,mirA_normalized,mirB_normalized
synergy,hsa-miR-124-3p.1;hsa-miR-124-3p.2,hsa-miR-27a-3p,2211,1421,3228,0.11554819110742888,0.07623208146188784,0.8574964342646195,0.9025746044031647,0.03931610964554104,hsa-miR-124-3p__hsa-miR-27a-3p,hsa-miR-124-3p,hsa-miR-27a-3p,hsa-miR-124-3p,hsa-miR-27a-3p
synergy,hsa-miR-124-3p.1;hsa-miR-124-3p.2,hsa-miR-363-3p,2211,1041,2953,0.08968516984258494,0.05121878239303792,0.8769230769230769,0.9060617224689493,0.03846638744954702,hsa-miR-124-3p__hsa-miR-363-3p,hsa-miR-124-3p,hsa-miR-363-3p,hsa-miR-124-3p,hsa-miR-363-3p
synergy,hsa-miR-19b-3p,hsa-miR-137,1338,1314,2397,0.10458436895885115,0.0616389818196078,0.8744360902255639,0.9161014924199509,0.04294538713924335,hsa-miR-19b-3p__hsa-miR-137,hsa-miR-19b-3p,hsa-miR-137-3p,hsa-miR-19b-3p,hsa-miR-137-3p
synergy,hsa-miR-19b-3p,hsa-miR-449b-5p,1338,755,1946,0.08557028445180889,0.03917353316225537,0.9339382940108893,0.9081900352733686,0.04639675128955352,hsa-miR-19b-3p__hsa-miR-449b-5p,hsa-miR-19b-3p,hsa-miR-449b-5p,hsa-miR-19b-3p,hsa-miR-449b-5p
synergy,hsa-miR-106b-5p,hsa-miR-137,1382,1314,2421,0.1155619994476664,0.0620546876302402,0.905256064690027,0.9098338790139445,0.053507311817426205,hsa-miR-106b-5p__hsa-miR-137,hsa-miR-106b-5p,hsa-miR-137-3p,hsa-miR-106b-5p,hsa-miR-137-3p
synergy,hsa-miR-20a-5p,hsa-miR-137,1381,1314,2420,0.1155619994476664,0.0620546876302402,0.905256064690027,0.9098338790139445,0.053507311817426205,hsa-miR-20a-5p__hsa-miR-137,hsa-miR-20a-5p,hsa-miR-137-3p,hsa-miR-20a-5p,hsa-miR-137-3p
synergy,hsa-miR-20a-5p,hsa-miR-449b-5p,1381,755,1992,0.0832228666114333,0.04403732708788505,0.9229351032448377,0.9492408906882591,0.03918553952354825,hsa-miR-20a-5p__hsa-miR-449b-5p,hsa-miR-20a-5p,hsa-miR-449b-5p,hsa-miR-20a-5p,hsa-miR-449b-5p
synergy,hsa-miR-17-5p,hsa-miR-137,1382,1314,2421,0.1155619994476664,0.0620546876302402,0.905256064690027,0.9098338790139445,0.053507311817426205,hsa-miR-17-5p__hsa-miR-137,hsa-miR-17-5p,hsa-miR-137-3p,hsa-miR-17-5p,hsa-miR-137-3p
synergy,hsa-miR-20b-5p,hsa-miR-449b-5p,1381,755,1992,0.0832228666114333,0.04403732708788505,0.9229351032448377,0.9492408906882591,0.03918553952354825,hsa-miR-20b-5p__hsa-miR-449b-5p,hsa-miR-20b-5p,hsa-miR-449b-5p,hsa-miR-20b-5p,hsa-miR-449b-5p
synergy,hsa-miR-27b-3p,hsa-miR-137,1421,1314,2451,0.10575807787903896,0.06252219996055287,0.8500000000000001,0.9018416010219288,0.043235877918486085,hsa-miR-27b-3p__hsa-miR-137,hsa-miR-27b-3p,hsa-miR-137-3p,hsa-miR-27b-3p,hsa-miR-137-3p
