label,mirA,mirB
synergy,hsa-miR-124-3p,hsa-miR-27a-3p
synergy,hsa-miR-124-3p,hsa-miR-363-3p
synergy,hsa-miR-124-3p,hsa-miR-34b-5p
synergy,hsa-miR-19a-3p,hsa-miR-2110
synergy,hsa-miR-19b-3p,hsa-miR-137-3p
synergy,hsa-miR-19b-3p,hsa-miR-449b-5p
synergy,hsa-miR-19b-3p,hsa-miR-2110
synergy,hsa-miR-19b-3p,hsa-miR-34b-5p
synergy,hsa-miR-106b-5p,hsa-miR-137-3p
synergy,hsa-miR-106b-5p,hsa-miR-2110
synergy,hsa-miR-20a-5p,hsa-miR-137-3p
synergy,hsa-miR-20a-5p,hsa-miR-449b-5p
synergy,hsa-miR-20a-5p,hsa-miR-2110
synergy,hsa-miR-17-5p,hsa-miR-137-3p
synergy,hsa-miR-17-5p,hsa-miR-2110
synergy,hsa-miR-20b-5p,hsa-miR-449b-5p
synergy,hsa-miR-20b-5p,hsa-miR-2110
synergy,hsa-miR-27b-3p,hsa-miR-137-3p
synergy,hsa-miR-27b-3p,hsa-miR-449a
synergy,hsa-miR-137-3p,hsa-miR-363-3p
synergy,hsa-miR-137-3p,hsa-miR-128-3p
synergy,hsa-miR-137-3p,hsa-miR-200a-3p
synergy,hsa-miR-137-3p,hsa-miR-449b-5p
synergy,hsa-miR-137-3p,hsa-miR-449a
synergy,hsa-miR-137-3p,hsa-miR-450b-3p
synergy,hsa-miR-429,hsa-miR-2110
synergy,hsa-miR-128-3p,hsa-miR-449b-5p
synergy,hsa-miR-128-3p,hsa-miR-449a
synergy,hsa-miR-204-5p,hsa-miR-2110
synergy,hsa-miR-211-5p,hsa-miR-449b-5p
synergy,hsa-miR-211-5p,hsa-miR-2110
