pair,panel,comparison,n_a,n_b,events_a,events_b,logrank_p_raw
124+363,A,0v1,20,56,2,16,0.08908424901019495
124+363,A,0v2,20,20,2,3,0.4947958956131898
124+363,A,1v2,56,20,16,3,0.2965019684291613
124+34b,B,0v1,27,42,5,12,0.6990672743980539
124+34b,B,0v2,27,27,5,4,0.5434456642137407
124+34b,B,1v2,42,27,12,4,0.21220980434949774
137+450b,C,0v1,32,32,12,9,0.24694310468090164
137+450b,C,0v2,32,32,12,0,2.419985862212918e-05
137+450b,C,1v2,32,32,9,0,0.0005971151697996998
137+449b,D,0v1,43,50,15,6,0.0006546701593290109
137+449b,D,0v2,43,3,15,0,0.2376110125547197
137+449b,D,1v2,50,3,6,0,0.5624676995595778
137+17,E,0v1,25,46,3,15,0.2255547103358495
137+17,E,0v2,25,25,3,3,0.6685846424617001
137+17,E,1v2,46,25,15,3,0.056395664920313955
19b+2110,F,0v1,23,50,5,12,0.9953523424446054
19b+2110,F,0v2,23,23,5,4,0.6470278952984735
19b+2110,F,1v2,50,23,12,4,0.5828355218607145
