panel,pair,pair_mirnas,window,n_total,n_events,n_bh,n_events_bh,HR,CI_lo,CI_hi,p,penalized,note
A,124+34b,hsa-miR-124-3p + hsa-miR-34b-5p,full,96,21,27,4,0.18652636435602224,0.052142584134271405,0.667248951649253,0.009819729979200909,False,
A,124+34b,hsa-miR-124-3p + hsa-miR-34b-5p,early,96,11,27,3,0.6466199146732248,0.16987268978811235,2.4613568818715925,0.5226378367199976,False,
A,124+34b,hsa-miR-124-3p + hsa-miR-34b-5p,late,68,10,20,1,0.020514015927962922,0.0011956149009954642,0.3519735737170383,0.007362772830645424,False,
B,137+450b,hsa-miR-137-3p + hsa-miR-450b-5p,full,96,21,32,0,0.4110395666698138,0.1474683984046264,1.1456930921873216,0.08914772205930614,True,
B,137+450b,hsa-miR-137-3p + hsa-miR-450b-5p,early,96,11,32,0,0.5444798453532643,0.17928317086997836,1.653575740307021,0.28345197078930706,True,
B,137+450b,hsa-miR-137-3p + hsa-miR-450b-5p,late,68,10,29,0,0.5028027525872701,0.14851687557893947,1.7022348943434518,0.269145089667647,True,
C,19b+34b,hsa-miR-19b-3p + hsa-miR-34b-5p,full,96,21,26,6,0.29656015974067923,0.09820345781207164,0.8955685502818028,0.031117842450194503,False,
C,19b+34b,hsa-miR-19b-3p + hsa-miR-34b-5p,early,96,11,26,3,0.4718808778086573,0.12049301738467391,1.8480038733745878,0.28091153646022343,False,
C,19b+34b,hsa-miR-19b-3p + hsa-miR-34b-5p,late,68,10,19,3,0.19108789786009875,0.03131320793499843,1.166108077600685,0.07290262204834841,False,
D,124+363,hsa-miR-124-3p + hsa-miR-363-3p,full,96,21,20,3,0.14747050370239528,0.03497203190541757,0.6218554735697024,0.009135051118046727,False,
D,124+363,hsa-miR-124-3p + hsa-miR-363-3p,early,96,11,20,1,0.18958985641419773,0.023062992453931588,1.5585277464299143,0.12183505623751321,False,
D,124+363,hsa-miR-124-3p + hsa-miR-363-3p,late,68,10,14,2,0.13039231169095847,0.015396077412449152,1.1043173200963676,0.06163215119983537,False,
