panel,pair,pair_mirnas,window,n_total,n_events,n_bh,n_events_bh,HR,CI_lo,CI_hi,p,penalized,note
A,124+363,hsa-miR-124-3p + hsa-miR-363-3p,full,96,21,20,3,0.14747050370239528,0.03497203190541757,0.6218554735697024,0.009135051118046727,False,
A,124+363,hsa-miR-124-3p + hsa-miR-363-3p,early,96,11,20,1,0.18958985641419773,0.023062992453931588,1.5585277464299143,0.12183505623751321,False,
A,124+363,hsa-miR-124-3p + hsa-miR-363-3p,late,68,10,14,2,0.13039231169095847,0.015396077412449152,1.1043173200963676,0.06163215119983537,False,
B,124+34b,hsa-miR-124-3p + hsa-miR-34b-5p,full,96,21,27,4,0.18652636435602224,0.052142584134271405,0.667248951649253,0.009819729979200909,False,
B,124+34b,hsa-miR-124-3p + hsa-miR-34b-5p,early,96,11,27,3,0.6466199146732248,0.16987268978811235,2.4613568818715925,0.5226378367199976,False,
B,124+34b,hsa-miR-124-3p + hsa-miR-34b-5p,late,68,10,20,1,0.020514015927962922,0.0011956149009954642,0.3519735737170383,0.007362772830645424,False,
C,137+450b,hsa-miR-137-3p + hsa-miR-450b-5p,full,96,21,32,0,0.4110395666698138,0.1474683984046264,1.1456930921873216,0.08914772205930614,True,
C,137+450b,hsa-miR-137-3p + hsa-miR-450b-5p,early,96,11,32,0,0.5444798453532643,0.17928317086997836,1.653575740307021,0.28345197078930706,True,
C,137+450b,hsa-miR-137-3p + hsa-miR-450b-5p,late,68,10,29,0,0.5028027525872701,0.14851687557893947,1.7022348943434518,0.269145089667647,True,
D,137+449b,hsa-miR-137-3p + hsa-miR-449b-5p,full,96,21,3,0,0.6491190581963253,0.031271579623846774,13.474073161061911,0.7800433595489538,True,
D,137+449b,hsa-miR-137-3p + hsa-miR-449b-5p,early,96,11,3,0,0.7000660439784464,0.03107725859388817,15.770131861888757,0.8224593547951063,True,
D,137+449b,hsa-miR-137-3p + hsa-miR-449b-5p,late,68,10,2,0,0.8087257766320324,0.014441891496883569,45.287515276667136,0.9176706460155583,True,
E,137+17,hsa-miR-137-3p + hsa-miR-17-5p,full,96,21,25,3,0.8342487330844581,0.22057075605577223,3.1553183255038775,0.78947014664023,False,
E,137+17,hsa-miR-137-3p + hsa-miR-17-5p,early,96,11,25,2,1.1184492684799974,0.19238753736169628,6.502129936886947,0.9008018736100051,False,
E,137+17,hsa-miR-137-3p + hsa-miR-17-5p,late,68,10,20,1,0.38730430239149716,0.043187836559237934,3.473307176320646,0.3967181834225697,False,
F,19b+2110,hsa-miR-19b-3p + hsa-miR-2110,full,96,21,23,4,1.0240791352582157,0.33404342342904825,3.13952618646291,0.966795207022127,False,
F,19b+2110,hsa-miR-19b-3p + hsa-miR-2110,early,96,11,23,2,0.871802103870625,0.1864844080783723,4.075616380720861,0.8615864097085109,False,
F,19b+2110,hsa-miR-19b-3p + hsa-miR-2110,late,68,10,17,2,1.1692778399238322,0.23141966637726014,5.907927741578009,0.8499240579298026,False,
