miRNA pair,NL synergy (combo − HSA),combination index (CI),NL synergy p,CBCA improvement vs ATRA,same seed family,dual-positive,selected for dose-response,dose-response outcome
hsa-miR-106b-5p + hsa-miR-2110,0.472,0.216,0.031,0.064,False,True,False,Not tested (screen-level hit)
hsa-miR-19a-3p + hsa-miR-2110,0.401,0.245,0.023,0.069,False,True,False,Not tested (screen-level hit)
hsa-miR-19b-3p + hsa-miR-449b-5p,0.307,0.254,0.008,0.109,False,True,False,Not tested (screen-level hit)
hsa-miR-20a-5p + hsa-miR-2110,0.352,0.27,0.01,0.107,False,True,False,Not tested (screen-level hit)
hsa-miR-19b-3p + hsa-miR-2110,0.343,0.275,0,0.077,False,True,True,Not validated — antagonistic (HSA NS)
hsa-miR-137 + hsa-miR-449b-5p,0.642,0.283,0.034,0.154,False,True,True,Not validated — additive (HSA NS)
hsa-miR-128-3p + hsa-miR-449b-5p,0.302,0.291,0.011,0.153,False,True,False,Not tested (screen-level hit)
hsa-miR-211-5p + hsa-miR-2110,0.257,0.336,0.041,0.115,False,True,False,Not tested (screen-level hit)
hsa-miR-27a-3p + hsa-miR-449b-5p,0.183,0.366,0.008,0.19,False,True,False,Not tested (screen-level hit)
hsa-miR-17-5p + hsa-miR-449b-5p,0.172,0.377,0.027,0.172,False,True,False,Not tested (screen-level hit)
hsa-miR-211-5p + hsa-miR-449b-5p,0.169,0.381,0.003,0.134,False,True,False,Not tested (screen-level hit)
hsa-miR-128-3p + hsa-miR-137,0.409,0.383,0.013,0.128,False,True,False,Not tested (screen-level hit)
hsa-miR-20a-5p + hsa-miR-449b-5p,0.166,0.386,0.002,0.091,False,True,False,Not tested (screen-level hit)
hsa-miR-17-5p + hsa-miR-2110,0.203,0.391,0.019,0.176,False,True,False,Not tested (screen-level hit)
hsa-miR-2110 + hsa-miR-449b-5p,0.193,0.403,0.047,0.188,False,True,False,Not tested (screen-level hit)
hsa-miR-137 + hsa-miR-27b-3p,0.351,0.42,0.019,0.098,False,True,False,Not tested (screen-level hit)
hsa-miR-20b-5p + hsa-miR-2110,0.264,0.426,0.016,0.157,False,True,False,Not tested (screen-level hit)
hsa-miR-2110 + hsa-miR-429,0.29,0.432,0.009,0.154,False,True,False,Not tested (screen-level hit)
hsa-miR-204-5p + hsa-miR-2110,0.159,0.451,0.037,0.185,False,True,False,Not tested (screen-level hit)
hsa-miR-137 + hsa-miR-19b-3p,0.3,0.458,0.032,0.088,False,True,False,Not tested (screen-level hit)
hsa-miR-20b-5p + hsa-miR-449b-5p,0.216,0.474,0.01,0.099,False,True,False,Not tested (screen-level hit)
hsa-miR-137 + hsa-miR-17-5p,0.262,0.492,0.001,0.147,False,True,True,Not validated — antagonistic trend (HSA NS)
hsa-miR-27b-3p + hsa-miR-449b-5p,0.113,0.511,0.01,0.189,False,True,False,Not tested (screen-level hit)
hsa-miR-137 + hsa-miR-20a-5p,0.238,0.516,0.017,0.031,False,True,False,Not tested (screen-level hit)
hsa-miR-137 + hsa-miR-450b-3p,0.459,0.53,0.001,0.068,False,True,True,Not validated — additive (HSA NS)
hsa-miR-137 + hsa-miR-363-3p,0.214,0.542,0.05,0.143,False,True,False,Not tested (screen-level hit)
hsa-miR-106b-5p + hsa-miR-137,0.213,0.543,0.024,0.072,False,True,False,Not tested (screen-level hit)
hsa-miR-27b-3p + hsa-miR-449a,0.266,0.548,0.017,0.097,False,True,False,Not tested (screen-level hit)
hsa-miR-124-3p + hsa-miR-363-3p,0.543,0.595,0.028,0.124,False,True,True,"Validated — HSA synergy 17.3 (95% CI 13.1–21.2), p<0.001"
hsa-miR-137 + hsa-miR-200a-3p,0.164,0.607,0.02,0.088,False,True,False,Not tested (screen-level hit)
hsa-miR-124-3p + hsa-miR-34b-5p,0.479,0.624,0.024,0.186,False,True,True,"Validated — HSA synergy 7.6 (95% CI 3.4–11.9), p<0.001"
hsa-miR-128-3p + hsa-miR-449a,0.189,0.63,0.031,0.114,False,True,False,Not tested (screen-level hit)
hsa-miR-124-3p + hsa-miR-204-5p,0.415,0.658,0.037,0.094,False,True,False,Not tested (screen-level hit)
hsa-miR-449a + hsa-miR-450b-3p,0.193,0.729,0.038,0.129,False,True,False,Not tested (screen-level hit)
